city,population,cases
Bebedouro/SP,77612.0,4581
Beberibe/CE,54315.0,5697
Bela Cruz/CE,32851.0,3524
Bela Vista da Caroba/PR,3404.0,199
Bela Vista de Goiás/GO,31004.0,3669
Bela Vista de Minas/MG,10269.0,1014
Bela Vista do Maranhão/MA,11347.0,226
Bela Vista do Paraíso/PR,15400.0,2167
Bela Vista do Piauí/PI,4044.0,284
Bela Vista do Toldo/SC,6386.0,90
Bela Vista/MS,24842.0,1131
Belford Roxo/RJ,515239.0,23820
Belmiro Braga/MG,3422.0,219
Belmonte/BA,23540.0,1233
Belmonte/SC,2712.0,342
Belo Campo/BA,17013.0,987
Belo Horizonte/MG,2530701.0,285563
Belo Jardim/PE,76930.0,4560
Belo Monte/AL,6717.0,555
Belo Oriente/MG,27277.0,2780
Belo Vale/MG,7723.0,1059
Belterra/PA,17944.0,1661
Belágua/MA,7586.0,413
Belém de Maria/PE,12169.0,306
Belém do Brejo do Cruz/PB,7356.0,544
Belém do Piauí/PI,3607.0,490
Belém do São Francisco/PE,20730.0,1024
Belém/AL,4226.0,128
Belém/PA,1506420.0,106377
Belém/PB,17733.0,2430
Beneditinos/PI,10479.0,1322
Benedito Leite/MA,5643.0,316
Benedito Novo/SC,11896.0,1095
Benevides/PA,64780.0,4139
Benjamin Constant do Sul/RS,1924.0,189
Benjamin Constant/AM,44873.0,2716
Bento Fernandes/RN,5552.0,184
Bento Gonçalves/RS,123090.0,22111
Bento de Abreu/SP,3028.0,363
Bequimão/MA,21317.0,283
Berilo/MG,11813.0,153
Berizal/MG,4792.0,251
Bernardino Batista/PB,3571.0,308
Bernardino de Campos/SP,11168.0,912
Bernardo Sayão/TO,4439.0,651
Bernardo do Mearim/MA,6102.0,322
Bertioga/SP,66154.0,6184
Bertolínia/PI,5512.0,911
Bertópolis/MG,4609.0,489
Beruri/AM,20503.0,2294
Betim/MG,450024.0,32257
Betânia do Piauí/PI,6214.0,180
Betânia/PE,12811.0,514
Bezerros/PE,60960.0,4010
Bias Fortes/MG,3282.0,119
Bicas/MG,14612.0,1544
Biguaçu/SC,70471.0,11736
Bilac/SP,8197.0,958
Biquinhas/MG,2482.0,176
Birigui/SP,126094.0,18125
Biritiba Mirim/SP,33265.0,1551
Biritinga/BA,15989.0,609
Bituruna/PR,16411.0,1434
Blumenau/SC,366418.0,60686
Boa Esperança do Iguaçu/PR,2437.0,189
Boa Esperança do Sul/SP,15111.0,1745
Boa Esperança/ES,15146.0,1777
Boa Esperança/MG,40308.0,4999
Boa Esperança/PR,3991.0,494
Boa Hora/PI,6848.0,596
Boa Nova/BA,12039.0,1037
Boa Ventura de São Roque/PR,6343.0,568
Boa Ventura/PB,5248.0,769
Boa Viagem/CE,54680.0,4293
Boa Vista da Aparecida/PR,7524.0,1114
Boa Vista das Missões/RS,2087.0,257
Boa Vista do Buricá/RS,6712.0,909
Boa Vista do Cadeado/RS,2466.0,219
Boa Vista do Gurupi/MA,8494.0,15
Boa Vista do Incra/RS,2628.0,314
Boa Vista do Ramos/AM,20040.0,1000
Boa Vista do Sul/RS,2773.0,336
Boa Vista do Tupim/BA,18491.0,290
Boa Vista/PB,7218.0,860
Boa Vista/RR,436591.0,96839
Boca da Mata/AL,27429.0,1921
Boca do Acre/AM,34958.0,2675
Bocaina de Minas/MG,5088.0,200
Bocaina do Sul/SC,3501.0,401
Bocaina/PI,4509.0,368
Bocaina/SP,12571.0,1361
Bocaiúva do Sul/PR,13308.0,2204
Bocaiúva/MG,50521.0,2769
Bodocó/PE,38605.0,2185
Bodoquena/MS,7802.0,609
Bodó/RN,2171.0,195
Bofete/SP,12107.0,971
Boituva/SP,63310.0,6656
Bom Conselho/PE,48975.0,2339
Bom Despacho/MG,51436.0,6015
Bom Jardim da Serra/SC,4801.0,722
Bom Jardim de Goiás/GO,8912.0,1335
Bom Jardim de Minas/MG,6444.0,558
Bom Jardim/MA,42010.0,1479
Bom Jardim/PE,40038.0,1796
Bom Jardim/RJ,27779.0,2023
Bom Jesus da Lapa/BA,70151.0,6178
Bom Jesus da Penha/MG,4270.0,720
Bom Jesus da Serra/BA,9768.0,486
Bom Jesus das Selvas/MA,35095.0,3701
Bom Jesus de Goiás/GO,26069.0,3241
Bom Jesus do Amparo/MG,6182.0,301
Bom Jesus do Araguaia/MT,6830.0,1098
Bom Jesus do Galho/MG,14792.0,805
Bom Jesus do Itabapoana/RJ,37306.0,4390
Bom Jesus do Norte/ES,9988.0,1276
Bom Jesus do Oeste/SC,2136.0,185
Bom Jesus do Sul/PR,3472.0,507
Bom Jesus do Tocantins/PA,17254.0,787
Bom Jesus do Tocantins/TO,5120.0,176
Bom Jesus dos Perdões/SP,26506.0,2480
Bom Jesus/PB,2588.0,194
Bom Jesus/PI,25584.0,3812
Bom Jesus/RN,10323.0,989
Bom Jesus/RS,11270.0,1012
Bom Jesus/SC,3104.0,530
Bom Lugar/MA,16578.0,534
Bom Princípio do Piauí/PI,5670.0,142
Bom Princípio/RS,14446.0,2211
Bom Progresso/RS,1858.0,189
Bom Repouso/MG,10527.0,1222
Bom Retiro do Sul/RS,12448.0,1071
Bom Retiro/SC,10153.0,910
Bom Sucesso de Itararé/SP,4013.0,259
Bom Sucesso do Sul/PR,3244.0,530
Bom Sucesso/MG,17612.0,1284
Bom Sucesso/PB,4937.0,508
Bom Sucesso/PR,7103.0,1312
Bombinhas/SC,20889.0,3713
Bonfim do Piauí/PI,5700.0,487
Bonfim/MG,6852.0,491
Bonfim/RR,12701.0,2515
Bonfinópolis de Minas/MG,5397.0,600
Bonfinópolis/GO,10120.0,521
Boninal/BA,14518.0,674
Bonito de Minas/MG,11502.0,110
Bonito de Santa Fé/PB,12126.0,563
Bonito/BA,16999.0,1054
Bonito/MS,22401.0,3224
Bonito/PA,16769.0,405
Bonito/PE,38101.0,1152
Bonópolis/GO,4579.0,347
Boqueirão do Leão/RS,7691.0,626
Boqueirão do Piauí/PI,6443.0,821
Boqueirão/PB,17934.0,2331
Boquim/SE,26980.0,2690
Boquira/BA,21486.0,890
Boracéia/SP,4913.0,998
Borba/AM,42328.0,2513
Borborema/PB,5311.0,391
Borborema/SP,16278.0,1713
Borda da Mata/MG,19809.0,2015
Borebi/SP,2713.0,281
Borrazópolis/PR,6290.0,930
Borá/SP,839.0,126
Bossoroca/RS,6135.0,478
Botelhos/MG,14927.0,1887
Botucatu/SP,149718.0,18870
Botumirim/MG,6259.0,246
Botuporã/BA,10050.0,457
Botuverá/SC,5396.0,975
Bozano/RS,2099.0,280
Braga/RS,3271.0,428
Braganey/PR,5338.0,621
Bragança Paulista/SP,172346.0,23029
Bragança/PA,130122.0,4437
Branquinha/AL,10426.0,713
Brasil Novo/PA,14883.0,2174
Brasileira/PI,8364.0,638
Brasilândia de Minas/MG,16950.0,1854
Brasilândia do Sul/PR,2521.0,426
Brasilândia do Tocantins/TO,2221.0,255
Brasilândia/MS,11835.0,1276
Brasiléia/AC,27123.0,2999
Brasnorte/MT,20571.0,2148
Brasília de Minas/MG,32460.0,1477
Brasília/DF,3094325.0,507861
Brazabrantes/GO,3812.0,617
Brazópolis/MG,14364.0,925
Braço do Norte/SC,34294.0,9000
Braço do Trombudo/SC,3794.0,749
Braúna/SP,5795.0,623
Braúnas/MG,4737.0,261
Brejetuba/ES,12450.0,1803
Brejinho de Nazaré/TO,5540.0,664
Brejinho/PE,7489.0,849
Brejinho/RN,12873.0,1518
Brejo Alegre/SP,2911.0,402
Brejo Grande do Araguaia/PA,7357.0,903
Brejo Grande/SE,8396.0,462
Brejo Santo/CE,50195.0,8426
Brejo da Madre de Deus/PE,51696.0,2413
Brejo de Areia/MA,8841.0,320
Brejo do Cruz/PB,14287.0,1964
Brejo do Piauí/PI,3824.0,158
Brejo dos Santos/PB,6479.0,756
Brejo/MA,36900.0,959
Brejolândia/BA,10675.0,154
Brejão/PE,8981.0,494
Brejões/BA,14155.0,873
Breu Branco/PA,68597.0,950
Breves/PA,104280.0,4085
Britânia/GO,5815.0,701
Brochier/RS,5132.0,623
Brodowski/SP,25605.0,2869
