#city,population,cases
Coryell-Texas,76737,2429286
Coshocton-Ohio,36449,866720
Costilla-Colorado,3921,76528
Cottle-Texas,1363,62298
Cotton-Oklahoma,5676,219843
Cottonwood-Minnesota,11242,530003
Covington-Alabama,36930,1566657
Covington-Mississippi,18518,995070
Covington city-Virginia,5639,186706
Coweta-Georgia,150849,4789498
Cowley-Kansas,34628,1291354
Cowlitz-Washington,111371,2015246
Craig-Oklahoma,14194,700397
Craig-Virginia,5077,98455
Craighead-Arkansas,112245,4896886
Crane-Texas,4765,191231
Craven-North Carolina,101233,3055570
Crawford-Arkansas,63409,2457502
Crawford-Georgia,12231,238552
Crawford-Illinois,18512,738333
Crawford-Indiana,10629,331576
Crawford-Iowa,16834,1021402
Crawford-Kansas,38730,1681875
Crawford-Michigan,13981,287077
Crawford-Missouri,23739,852091
Crawford-Ohio,41338,1290583
Crawford-Pennsylvania,83697,2250690
Crawford-Wisconsin,16021,601139
Creek-Oklahoma,71485,2358268
Crenshaw-Alabama,13681,568342
Crisp-Georgia,22034,762288
Crittenden-Arkansas,47616,2239300
Crittenden-Kentucky,8847,220501
Crockett-Tennessee,14180,759278
Crockett-Texas,3513,209025
Crook-Oregon,25105,370959
Crook-Wyoming,7593,159513
Crosby-Texas,5567,213886
Cross-Arkansas,16142,693703
Crow Wing-Minnesota,65644,2087255
Crowley-Colorado,5696,683777
Culberson-Texas,2149,119349
Cullman-Alabama,84515,3431229
Culpeper-Virginia,53569,1620649
Cumberland-Illinois,10649,436152
Cumberland-Kentucky,6523,236073
Cumberland-Maine,298111,5078371
Cumberland-New Jersey,147008,5534197
Cumberland-North Carolina,336364,9509317
Cumberland-Pennsylvania,255857,6113245
Cumberland-Tennessee,61603,2305186
Cumberland-Virginia,9933,158452
Cuming-Nebraska,8798,345902
Currituck-North Carolina,29052,492203
Curry-New Mexico,48793,1820716
Curry-Oregon,23305,237037
Custer-Colorado,5183,67178
Custer-Idaho,4249,87400
Custer-Montana,11292,410172
Custer-Nebraska,10626,292743
Custer-Oklahoma,28648,1353120
Custer-South Dakota,9017,297381
Cuyahoga-Ohio,1227883,36296135
Dade-Georgia,16057,485295
Dade-Missouri,7568,236665
Daggett-Utah,1026,15189
Dakota-Minnesota,431807,14609876
Dakota-Nebraska,20070,1716530
Dale-Alabama,48959,1849800
Dallam-Texas,7273,315235
Dallas-Alabama,36098,1404294
Dallas-Arkansas,6802,268702
Dallas-Iowa,96963,3880431
Dallas-Missouri,17219,461326
Dallas-Texas,2635888,105008239
Dane-Wisconsin,552536,15703710
Daniels-Montana,1638,63628
Danville city-Virginia,39869,1454176
Dare-North Carolina,37547,716013
Darke-Ohio,51205,1806372
Darlington-South Carolina,66509,2848698
Dauphin-Pennsylvania,279874,8008350
Davidson-North Carolina,169234,5474610
Davidson-Tennessee,694176,34875638
Davie-North Carolina,43286,1323783
Daviess-Indiana,33505,1060579
Daviess-Kentucky,101978,3553831
Daviess-Missouri,8283,242838
Davis-Iowa,9051,282416
Davis-Utah,359232,12706728
Davison-South Dakota,19812,1078932
Dawes-Nebraska,8361,249578
Dawson-Georgia,27113,1066239
Dawson-Montana,8555,368137
Dawson-Nebraska,23510,1123171
Dawson-Texas,12974,618456
Day-South Dakota,5345,228332
De Baca-New Mexico,1673,49731
De Soto-Louisiana,27650,1072323
De Witt-Illinois,15368,479973
DeKalb-Alabama,71658,3245037
DeKalb-Georgia,762009,22891618
DeKalb-Illinois,104491,3298144
DeKalb-Indiana,43670,1426188
DeKalb-Missouri,10944,373202
DeKalb-Tennessee,20837,974526
DeSoto-Florida,38520,1615407
DeSoto-Mississippi,188275,7668572
DeWitt-Texas,20174,751671
Deaf Smith-Texas,18277,1057602
Dearborn-Indiana,49824,1929149
Decatur-Georgia,26457,1120966
Decatur-Indiana,26584,1017270
Decatur-Iowa,7769,202947
Decatur-Kansas,2776,93116
Decatur-Tennessee,11601,584635
Deer Lodge-Montana,9204,378379
Defiance-Ohio,37778,1341981
Del Norte-California,27968,515595
Delaware-Indiana,113454,3658115
Delaware-Iowa,16937,709396
Delaware-New York,43938,659643
Delaware-Ohio,213554,5881124
Delaware-Oklahoma,43136,1621598
Delaware-Pennsylvania,566753,16879477
Delta-Colorado,31067,866667
Delta-Michigan,35612,1291401
Delta-Texas,5349,107321
Denali Borough-Alaska,2081,36315
Dent-Missouri,15481,359357
Denton-Texas,919324,24207849
Denver-Colorado,735538,24054143
Des Moines-Iowa,38708,1592643
Deschutes-Oregon,201769,2951843
Desha-Arkansas,11110,474925
Deuel-Nebraska,1793,33876
Deuel-South Dakota,4346,176694
Dewey-Oklahoma,4815,178009
Dewey-South Dakota,5789,494277
Dickens-Texas,2140,60776
Dickenson-Virginia,14078,312033
Dickey-North Dakota,4705,266709
Dickinson-Iowa,17549,820853
Dickinson-Kansas,18266,599248
Dickinson-Michigan,25112,892161
Dickson-Tennessee,54376,2337283
