ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1854,-15.32,-41.75,NINHEIRA - MG,NINHEIRA,MG,58162.7482935169
1855,-18.47,-41.01,NOVA BELEM - MG,NOVA BELEM,MG,30958.0735098832
1856,-19.75,-43.03,NOVA ERA - MG,NOVA ERA,MG,104924.858898251
1857,-19.98,-43.84,NOVA LIMA - MG,NOVA LIMA,MG,385044.699891885
1858,-18.43,-41.5,NOVA MODICA - MG,NOVA MODICA,MG,29033.5074288477
1859,-19.13,-47.68,NOVA PONTE - MG,NOVA PONTE,MG,52587.7168468951
1860,-15.8,-43.3,NOVA PORTEIRINHA - MG,NOVA PORTEIRINHA,MG,43718.9255739957
1861,-21.12,-46.42,NOVA RESENDE - MG,NOVA RESENDE,MG,79557.4905486242
1862,-19.87,-44.98,NOVA SERRANA - MG,NOVA SERRANA,MG,174776.172038412
1863,-19.69,-43.58,NOVA UNIAO - MG,NOVA UNIAO,MG,33283.2944574238
1864,-17.46,-41.87,NOVO CRUZEIRO - MG,NOVO CRUZEIRO,MG,181710.640432597
1865,-17.41,-41.21,NOVO ORIENTE DE MINAS - MG,NOVO ORIENTE DE MINAS,MG,51661.2921341893
1866,-16.01,-42.4,NOVORIZONTE - MG,NOVORIZONTE,MG,25787.5263670343
1867,-21.86,-43.93,OLARIA - MG,OLARIA,MG,15028.1799625225
1868,-17.39,-43.57,OLHOS-D'AGUA - MG,OLHOS-D'AGUA,MG,25734.8435699091
1869,-22.06,-45.26,OLIMPIO NORONHA - MG,OLIMPIO NORONHA,MG,14242.9496138738
1870,-20.69,-44.82,OLIVEIRA - MG,OLIVEIRA,MG,231533.590215266
1871,-21.33,-43.45,OLIVEIRA FORTES - MG,OLIVEIRA FORTES,MG,14660.0720984368
1872,-19.73,-44.8,ONCA DE PITANGUI - MG,ONCA DE PITANGUI,MG,18646.2757532096
1873,-20.43,-42.8,ORATORIOS - MG,ORATORIOS,MG,29865.6877959698
1874,-20.5,-42.21,ORIZANIA - MG,ORIZANIA,MG,37238.9100136365
1875,-20.52,-43.69,OURO BRANCO - MG,OURO BRANCO,MG,202794.690504058
1876,-22.28,-46.36,OURO FINO - MG,OURO FINO,MG,194705.0626622
1877,-20.28,-43.5,OURO PRETO - MG,OURO PRETO,MG,416283.572754252
1878,-18.07,-41.27,OURO VERDE DE MINAS - MG,OURO VERDE DE MINAS,MG,56487.1364546121
1879,-16.36,-42.51,PADRE CARVALHO - MG,PADRE CARVALHO,MG,29265.4447726472
