"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"160023 Ferreira Gomes";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"160027 Laranjal do Jari";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;5
"160030 Macapá";6;6;1;6;3;6;6;11;9;17;17;10;13;4;9;26;21;171
"160040 Mazagão";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
"160050 Oiapoque";0;1;0;1;0;0;2;0;1;0;1;3;2;0;2;2;1;16
"160015 Pedra Branca do Amapari";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"160053 Porto Grande";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2
"160060 Santana";0;1;0;0;0;0;3;0;0;1;3;1;1;0;0;5;1;16
"160070 Tartarugalzinho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"160080 Vitória do Jari";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
"170030 Aguiarnópolis";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"170035 Aliança do Tocantins";0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;6
"170040 Almas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"170070 Alvorada";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"170100 Ananás";0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;5
"170190 Araguacema";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3
"170200 Araguaçu";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"170210 Araguaína";4;1;0;5;2;2;3;9;4;4;6;5;3;3;6;6;8;71
"170215 Araguanã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"170220 Araguatins";0;0;2;0;1;0;1;0;1;0;2;2;1;2;0;0;2;14
"170230 Arapoema";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"170255 Augustinópolis";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3
"170270 Aurora do Tocantins";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"170290 Axixá do Tocantins";1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;6
"170300 Babaçulândia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2
"170310 Barrolândia";0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3
"170320 Bernardo Sayão";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
"170330 Bom Jesus do Tocantins";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"170370 Brejinho de Nazaré";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"170386 Cariri do Tocantins";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"170389 Carrasco Bonito";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"170510 Chapada da Natividade";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
"170550 Colinas do Tocantins";0;0;1;2;0;0;1;0;0;0;1;1;2;2;3;2;1;16
