#municipalities,population,cases
Juvenília/MG,5706,500
Juína/MT,41190,4497
Jóia/RS,8571,952
Júlio Borges/PI,5653,148
Júlio Mesquita/SP,4824,343
Júlio de Castilhos/RS,19159,2339
Kaloré/PR,3996,1273
Lacerdópolis/SC,2248,479
Ladainha/MG,18272,354
Ladário/MS,24040,2775
Lafaiete Coutinho/BA,3663,437
Lagamar/MG,7588,456
Lagarto/SE,106015,7787
Lages/SC,157158,28619
Lago Verde/MA,16369,921
Lago da Pedra/MA,50959,2912
Lago do Junco/MA,10900,560
Lago dos Rodrigues/MA,8841,608
Lagoa Alegre/PI,8610,360
Lagoa Bonita do Sul/RS,2939,41
Lagoa Dourada/MG,13115,1005
Lagoa Formosa/MG,18168,2183
Lagoa Grande do Maranhão/MA,11534,277
Lagoa Grande/MG,9681,900
Lagoa Grande/PE,26090,1827
Lagoa Nova/RN,15880,1039
Lagoa Real/BA,15870,859
Lagoa Salgada/RN,8348,581
Lagoa Santa/GO,1652,135
Lagoa Santa/MG,66744,6054
Lagoa Seca/PB,27728,3018
Lagoa Vermelha/RS,27751,4189
Lagoa d'Anta/RN,6851,399
Lagoa da Canoa/AL,17692,1348
Lagoa da Confusão/TO,13989,2217
Lagoa da Prata/MG,53236,8167
Lagoa de Dentro/PB,7754,1041
Lagoa de Itaenga/PE,21490,1259
Lagoa de Pedras/RN,7624,511
Lagoa de São Francisco/PI,6795,508
Lagoa de Velhos/RN,2732,227
Lagoa do Barro do Piauí/PI,4658,1029
Lagoa do Carro/PE,18429,1249
Lagoa do Mato/MA,11280,2545
Lagoa do Ouro/PE,13300,546
Lagoa do Piauí/PI,4086,896
Lagoa do Sítio/PI,5219,95
Lagoa do Tocantins/TO,4470,299
Lagoa dos Gatos/PE,16345,755
Lagoa dos Patos/MG,4062,134
Lagoa dos Três Cantos/RS,1604,279
Lagoa/PB,4640,180
Lagoinha do Piauí/PI,2870,289
Lagoinha/SP,4882,237
Lagoão/RS,6469,555
Laguna Carapã/MS,7496,613
Laguna/SC,46424,5908
Laje do Muriaé/RJ,7298,690
Laje/BA,24214,1925
Lajeado Grande/SC,1408,248
Lajeado Novo/MA,7653,405
Lajeado do Bugre/RS,2569,295
Lajeado/RS,86005,14873
Lajeado/TO,3199,192
Lajedinho/BA,3735,298
Lajedo do Tabocal/BA,8591,702
Lajedo/PE,40883,2587
Lajedão/BA,3993,481
Lajes Pintadas/RN,4768,437
Lajes/RN,11410,1042
Lajinha/MG,19914,2622
Lamarão/BA,8078,425
Lambari D'Oeste/MT,6246,743
Lambari/MG,20995,1955
Lamim/MG,3366,158
Landri Sales/PI,5272,1189
Lapa/PR,48651,4797
Lapão/BA,27323,2304
Laranja da Terra/ES,10919,1225
Laranjal Paulista/SP,29047,4659
Laranjal do Jari/AP,52302,8398
Laranjal/MG,6856,787
Laranjal/PR,5719,409
Laranjeiras do Sul/PR,32167,2741
Laranjeiras/SE,30327,1901
Lassance/MG,6494,478
Lastro/PB,2698,483
Laurentino/SC,7154,1246
Lauro Müller/SC,15380,2540
Lauro de Freitas/BA,204669,23545
Lavandeira/TO,1984,180
Lavras da Mangabeira/CE,31476,3091
Lavras do Sul/RS,7410,452
Lavras/MG,105756,9347
Lavrinhas/SP,7361,333
Lavínia/SP,12581,944
Leandro Ferreira/MG,3222,318
Lebon Régis/SC,12122,1227
Leme do Prado/MG,4923,179
Leme/SP,105273,13964
Lençóis Paulista/SP,69533,12239
Lençóis/BA,11586,1016
Leoberto Leal/SC,2960,355
Leopoldina/MG,52690,5986
Leopoldo de Bulhões/GO,7663,761
Leópolis/PR,3896,471
Liberato Salzano/RS,5087,489
Liberdade/MG,4994,266
Licínio de Almeida/BA,12357,456
Lidianópolis/PR,3155,429
Lima Campos/MA,11943,1209
Lima Duarte/MG,16749,905
Limeira do Oeste/MG,7640,1304
Limeira/SP,310783,23249
Limoeiro de Anadia/AL,28904,1552
Limoeiro do Ajuru/PA,29623,1726
Limoeiro do Norte/CE,60232,7556
Limoeiro/PE,56149,3258
Lindoeste/PR,4488,549
Lindolfo Collor/RS,6193,948
Lindóia do Sul/SC,4530,976
Lindóia/SP,8201,859
Linha Nova/RS,1724,217
Linhares/ES,179755,29113
Lins/SP,78978,9417
Livramento de Nossa Senhora/BA,46372,3324
Livramento/PB,7274,1025
Lizarda/TO,3727,160
Loanda/PR,23393,3284
Lobato/PR,4850,561
Logradouro/PB,4406,392
Londrina/PR,580870,89527
Lontra/MG,9766,719
Lontras/SC,12497,1276
Lorena/SP,89532,5376
Loreto/MA,12271,790
Lourdes/SP,2311,298
Louveira/SP,51007,5416
Lucas do Rio Verde/MT,69671,15658
Lucena/PB,13344,1219
Lucianópolis/SP,2412,346
Luciara/MT,2036,205
Lucrécia/RN,4053,569
Lucélia/SP,22022,1931
Luisburgo/MG,6249,467
Luislândia/MG,6735,235
Luiz Alves/SC,13347,2322
Luiziana/PR,7217,789
Luiziânia/SP,5918,294
Luminárias/MG,5431,355
Lunardelli/PR,4695,564
Lupionópolis/PR,4969,375
Lupércio/SP,4608,266
Lutécia/SP,2623,230
Luz/MG,18297,2150
Luzerna/SC,5683,1122
Luzilândia/PI,25521,2741
Luzinópolis/TO,3200,214
Luziânia/GO,214645,34748
Luís Antônio/SP,15628,2148
Luís Correia/PI,30558,1906
Luís Domingues/MA,7016,602
Luís Eduardo Magalhães/BA,92671,13358
Luís Gomes/RN,10175,615
Lábrea/AM,47685,7046
Macajuba/BA,11318,753
Macambira/SE,7002,670
Macaparana/PE,25565,1304
Macapá/AP,522357,60819
Macarani/BA,19056,910
Macatuba/SP,17263,2828
Macau/RN,32260,2295
Macaubal/SP,8174,1015
Macaé/RJ,266136,37666
Macaíba/RN,82828,5910
Macaúbas/BA,50481,2411
Macedônia/SP,3686,469
Maceió/AL,1031597,91208
Machacalis/MG,7112,717
Machadinho D'Oeste/RO,41724,6952
Machadinho/RS,5411,821
Machado/MG,42682,4688
Machados/PE,16549,707
Macieira/SC,1757,172
Macuco/RJ,5646,1129
Macururé/BA,7752,333
Madalena/CE,20031,1486
Madeiro/PI,8372,411
Madre de Deus de Minas/MG,5119,686
Madre de Deus/BA,21754,2872
Maetinga/BA,2386,294
Mafra/SC,56825,5650
Magalhães Barata/PA,8598,377
Magalhães de Almeida/MA,20228,538
Magda/SP,3086,384
Magé/RJ,247741,15129
Maiquinique/BA,10294,797
Mairi/BA,18535,1321
Mairinque/SP,47723,4409
Mairiporã/SP,103645,6778
Mairipotaba/GO,2358,234
Major Gercino/SC,3465,368
Major Isidoro/AL,19923,943
Major Sales/RN,4102,472
Major Vieira/SC,8209,368
Malacacheta/MG,18556,1484
Malhada de Pedras/BA,8326,445
Malhada dos Bois/SE,3715,331
Malhada/BA,16875,543
Malhador/SE,12689,1117
Mallet/PR,13697,812
Malta/PB,5745,458
Mamanguape/PB,45385,5019
Mambaí/GO,9277,271
Mamborê/PR,12900,1407
Mamonas/MG,6565,485
Mampituba/RS,2965,425
Manacapuru/AM,99613,9606
Manaquiri/AM,33981,1874
Manari/PE,22110,451
Manaus/AM,2255903,204468
Manaíra/PB,10988,544
Mandaguari/PR,34628,5021
Mandaguaçu/PR,23373,4063
Mandirituba/PR,27750,3532
Manduri/SP,9972,987
Manfrinópolis/PR,2442,237
Manga/MG,18051,1520
Mangaratiba/RJ,45941,3482
Mangueirinha/PR,16572,2147
Manhuaçu/MG,92074,7599
Manhumirim/MG,22894,2253
Manicoré/AM,57405,4703
Manoel Emídio/PI,5352,499
Manoel Ribas/PR,13517,1561
Manoel Urbano/AC,9701,907
Manoel Viana/RS,7315,538
Manoel Vitorino/BA,12944,1332
Mansidão/BA,13822,219
Mantena/MG,27651,3338
Mantenópolis/ES,15653,1024
Maquiné/RS,6747,857
Mar Vermelho/AL,3474,167
Mar de Espanha/MG,12985,1451
Mara Rosa/GO,9234,368
Marabá Paulista/SP,6039,108
Marabá/PA,287664,19560
Maracaju/MS,48944,6419
Maracajá/SC,7461,1256
Maracanaú/CE,230986,21634
Maracanã/PA,29559,757
Maracaçumé/MA,21773,543
Maracaí/SP,14069,2141
Maracás/BA,19973,3733
Maragogi/AL,33351,1683
Maragogipe/BA,44902,2388
Maraial/PE,11098,341
Marajá do Sena/MA,7757,261
Maranguape/CE,131677,11788
Maranhãozinho/MA,16754,739
Marapanim/PA,28563,1016
Marapoama/SP,3097,488
Marataízes/ES,39259,7597
Maratá/RS,2713,277
Marau/RS,45523,7710
Maravilha/AL,8850,402
Maravilha/SC,26463,5365
Maravilhas/MG,8113,689
Maraã/AM,18298,2569
Maraú/BA,20664,1787
Marcação/PB,8746,895
Marcelino Ramos/RS,4239,384
Marcelino Vieira/RN,8325,1016
Marcelândia/MT,10107,1731
Marcionílio Souza/BA,10357,579
Marco/CE,27822,1869
Marcolândia/PI,8590,973
Marcos Parente/PI,4546,394
Marechal Cândido Rondon/PR,54031,7108
Marechal Deodoro/AL,52848,6675
Marechal Floriano/ES,17141,3698
Marechal Thaumaturgo/AC,19727,1358
Marema/SC,1703,252
Mari/PB,21895,2447
Maria Helena/PR,5593,556
Maria da Fé/MG,14019,1377
Marialva/PR,36103,6163
Mariana Pimentel/RS,3892,285
Mariana/MG,61830,10374
Mariano Moro/RS,1987,222
Marianópolis do Tocantins/TO,5332,431
Maribondo/AL,13123,555
Maricá/RJ,167668,12873
Marilac/MG,4079,310
Marilena/PR,7093,722
Mariluz/PR,10327,1487
Marilândia do Sul/PR,8793,1195
Marilândia/ES,13091,2169
Maringá/PR,436472,62482
Marinópolis/SP,2101,229
Maripá de Minas/MG,3000,350
Maripá/PR,5562,739
Marituba/PA,135812,2966
Marizópolis/PB,6689,381
Mariápolis/SP,4098,287
Mariópolis/PR,6655,733
Marliéria/MG,4030,398
Marmeleiro/PR,14407,2304
Marmelópolis/MG,2701,202
Marques de Souza/RS,3981,361
Marquinho/PR,4283,372
Martinho Campos/MG,13497,1389
Martins Soares/MG,8640,476
Martins/RN,8790,549
Martinópole/CE,11407,1534
Martinópolis/SP,26791,1967
Maruim/SE,17328,1160
Marumbi/PR,4676,698
Marzagão/GO,2263,316
Marília/SP,242249,30982
Mascote/BA,13619,821
Massapê do Piauí/PI,6456,251
Massapê/CE,39341,2580
Massaranduba/PB,14077,1351
Massaranduba/SC,17330,2985
Mata Grande/AL,25200,507
Mata Roma/MA,17122,633
Mata Verde/MG,8700,585
Mata de São João/BA,47643,4442
Mata/RS,4760,496
Mataraca/PB,8642,519
Mateiros/TO,2773,211
Matelândia/PR,18266,2950
Materlândia/MG,4415,227
Mateus Leme/MG,31631,6885
Mathias Lobato/MG,3157,349
Matias Barbosa/MG,14626,2016
Matias Cardoso/MG,11360,325
Matias Olímpio/PI,10979,700
Matina/BA,12359,461
Matinha/MA,23591,390
Matinhas/PB,4528,288
Matinhos/PR,35705,3823
Matipó/MG,19098,1515
Mato Castelhano/RS,2543,406
Mato Grosso/PB,2944,189
Mato Leitão/RS,4627,841
Mato Queimado/RS,1611,91
Mato Rico/PR,3142,168
Mato Verde/MG,12367,1166
Matos Costa/SC,2442,179
Matozinhos/MG,38469,3883
Matrinchã/GO,4321,482
Matriz de Camaragibe/AL,24627,1523
Matupá/MT,17017,2399
Maturéia/PB,6690,542
Matutina/MG,3733,250
Matão/SP,84069,5558
Matões do Norte/MA,17316,240
Matões/MA,34099,1034
Maurilândia do Tocantins/TO,3470,399
Maurilândia/GO,14568,1176
Mauriti/CE,48370,4678
Mauá da Serra/PR,10994,1243
Mauá/SP,481725,31989
Maués/AM,66159,4933
Maxaranguape/RN,12714,600
Maximiliano de Almeida/RS,4254,632
Mazagão/AP,22468,3117
Maçambará/RS,4539,453
Medeiros Neto/BA,22741,2843
Medeiros/MG,3861,271
Medianeira/PR,46940,7911
Medicilândia/PA,32347,3288
Medina/MG,20701,1224
Meleiro/SC,6989,1309
Melgaço/PA,28121,566
Mendes Pimentel/MG,6446,844
Mendes/RJ,18681,4098
Mendonça/SP,5638,976
Mercedes/PR,5617,570
Mercês/MG,10775,465
Meridiano/SP,3813,365
Meruoca/CE,15309,1743
Mesquita/MG,5489,429
Mesquita/RJ,177016,4258
Messias Targino/RN,4665,456
Messias/AL,18201,1197
Mesópolis/SP,1903,286
Miguel Alves/PI,33901,2127
Miguel Calmon/BA,25771,2654
Miguel Leão/PI,1239,277
Miguel Pereira/RJ,25622,3664
Miguelópolis/SP,22480,1512
Milagres do Maranhão/MA,8502,239
Milagres/BA,10838,651
Milagres/CE,27413,3204
Milhã/CE,13129,1572
Milton Brandão/PI,6603,276
Mimoso de Goiás/GO,2575,195
Mimoso do Sul/ES,26079,3546
Minador do Negrão/AL,5315,246
Minas Novas/MG,31509,877
Minas do Leão/RS,8130,707
Minaçu/GO,28518,3442
Minduri/MG,3891,205
Mineiros do Tietê/SP,13023,1455
Mineiros/GO,69477,13521
Ministro Andreazza/RO,9461,516
Mira Estrela/SP,3125,356
Mirabela/MG,13651,1071
Miracatu/SP,19511,2382
Miracema do Tocantins/TO,17628,2102
Miracema/RJ,27134,2947
Mirador/MA,21045,895
Mirador/PR,2180,232
Miradouro/MG,10818,861
Miraguaí/RS,4899,636
Miranda do Norte/MA,29121,1386
Miranda/MS,28423,3046
Mirandiba/PE,15548,915
Mirandópolis/SP,29844,2226
Mirangaba/BA,18603,532
Miranorte/TO,13551,2575
Mirante da Serra/RO,10691,1069
Mirante do Paranapanema/SP,18415,1256
Mirante/BA,8264,535
Miraselva/PR,1786,245
Mirassol d'Oeste/MT,28135,4237
Mirassol/SP,60768,9985
Mirassolândia/SP,4966,761
Miravânia/MG,4939,10
Miraí/MG,15205,1848
Miraíma/CE,13965,1403
Mirim Doce/SC,2257,327
Mirinzal/MA,15059,262
Missal/PR,10706,1238
Missão Velha/CE,35566,2361
Mocajuba/PA,31917,3471
Mococa/SP,69072,5791
Modelo/SC,4227,482
Moeda/MG,4948,397
Moema/MG,7589,1052
Mogeiro/PB,13238,1162
Mogi Guaçu/SP,154146,19853
Mogi Mirim/SP,94098,12028
Mogi das Cruzes/SP,455587,33831
Moiporá/GO,1471,62
Moita Bonita/SE,11361,1201
Moju/PA,84251,2252
Mojuí dos Campos/PA,16282,1410
Mombaça/CE,43917,4249
Mombuca/SP,3523,464
Mondaí/SC,12034,1222
Mongaguá/SP,58567,2335
Monjolos/MG,2184,63
Monsenhor Gil/PI,10563,1543
Monsenhor Hipólito/PI,7785,638
Monsenhor Paulo/MG,8764,907
Monsenhor Tabosa/CE,17264,2050
Montadas/PB,5806,336
Montalvânia/MG,14621,1430
Montanha/ES,18954,1851
Montanhas/RN,11166,666
Montauri/RS,1430,282
Monte Alegre de Goiás/GO,8759,265
Monte Alegre de Minas/MG,21349,1827
Monte Alegre de Sergipe/SE,15315,889
Monte Alegre do Piauí/PI,10618,1190
Monte Alegre do Sul/SP,8181,666
Monte Alegre dos Campos/RS,3237,166
Monte Alegre/PA,58289,5537
Monte Alegre/RN,22698,1260
Monte Alto/SP,51039,6504
Monte Aprazível/SP,25651,3065
Monte Azul Paulista/SP,18928,2366
Monte Azul/MG,20544,1738
Monte Belo do Sul/RS,2514,278
Monte Belo/MG,13139,1224
Monte Carlo/SC,9945,1333
Monte Carmelo/MG,48049,5114
Monte Castelo/SC,8263,955
Monte Castelo/SP,4166,679
Monte Formoso/MG,4939,387
Monte Horebe/PB,4867,565
Monte Mor/SP,61707,7146
Monte Negro/RO,16158,1847
Monte Santo de Minas/MG,21504,1591
Monte Santo do Tocantins/TO,2311,178
Monte Santo/BA,49145,1527
Monte Sião/MG,24247,2828
Monte das Gameleiras/RN,2063,217
Monte do Carmo/TO,8182,569
Monteiro Lobato/SP,4739,287
Monteiro/PB,33638,4770
Monteirópolis/AL,7171,285
Montenegro/RS,66157,9606
Montes Altos/MA,9064,802
Montes Claros de Goiás/GO,8037,1280
Montes Claros/MG,417478,43484
Montezuma/MG,8379,576
Montividiu do Norte/GO,4538,360
Montividiu/GO,13935,1330
Monção/MA,33888,2371
Monções/SP,2274,249
Morada Nova de Minas/MG,8955,643
Morada Nova/CE,61590,9299
Moraújo/CE,8833,1945
Moreilândia/PE,11269,765
Moreira Sales/PR,11966,1078
Moreno/PE,63792,2020
Mormaço/RS,3139,389
Morpará/BA,8476,330
Morretes/PR,16485,2235
Morrinhos do Sul/RS,2891,387
Morrinhos/CE,22830,1475
Morrinhos/GO,46955,9227
Morro Agudo de Goiás/GO,2217,297
Morro Agudo/SP,33598,4634
Morro Cabeça no Tempo/PI,4527,165
Morro Grande/SC,2884,583
Morro Redondo/RS,6609,517
Morro Reuter/RS,6570,899
Morro da Fumaça/SC,18095,3649
Morro da Garça/MG,2413,118
Morro do Chapéu do Piauí/PI,6825,995
Morro do Chapéu/BA,35466,2628
Morro do Pilar/MG,3126,206
Morros/MA,19708,515
Mortugaba/BA,12063,962
Morungaba/SP,13936,1079
Mossoró/RN,303792,30219
Mossâmedes/GO,4120,285
Mostardas/RS,12888,1042
Motuca/SP,4831,363
Mozarlândia/GO,16077,2525
Muaná/PA,41454,877
Mucajaí/RR,18482,2347
Mucambo/CE,14561,1907
Mucugê/BA,8725,567
Mucuri/BA,42729,3977
Mucurici/ES,5468,653
Muitos Capões/RS,3184,141
Muliterno/RS,1901,257
Mulungu do Morro/BA,10469,638
Mulungu/CE,11056,1288
Mulungu/PB,9962,1010
Mundo Novo/BA,27153,895
Mundo Novo/GO,4540,611
Mundo Novo/MS,18578,2366
Munhoz de Melo/PR,4034,504
Munhoz/MG,5960,618
Muniz Ferreira/BA,7464,934
Muniz Freire/ES,17176,3184
Muqui/ES,15602,2412
Muquém do São Francisco/BA,11479,659
Muriaé/MG,109997,11846
Muribeca/SE,7653,317
Murici dos Portelas/PI,9258,298
Murici/AL,28428,1042
Muricilândia/TO,3623,569
Muritiba/BA,29420,2419
Murutinga do Sul/SP,4525,424
Mutum/MG,26945,2251
Mutunópolis/GO,3749,364
Mutuípe/BA,22340,2295
Muzambinho/MG,20522,1847
Muçum/RS,4967,861
Mário Campos/MG,15814,1374
Mâncio Lima/AC,19643,2992
Mãe d'Água/PB,3988,266
Mãe do Rio/PA,30389,1498
Nacip Raydan/MG,3221,250
Nantes/SP,3215,243
Nanuque/MG,40583,4544
Naque/MG,7104,604
Narandiba/SP,4950,880
Natal/RN,896708,100527
Natalândia/MG,3306,331
Natividade da Serra/SP,6624,220
Natividade/RJ,15305,1195
Natividade/TO,9256,1238
Natuba/PB,10449,365
Natércia/MG,4727,493
Navegantes/SC,85734,11139
Naviraí/MS,56484,9466
Nazareno/MG,8710,555
Nazarezinho/PB,7271,532
Nazaré Paulista/SP,18866,1628
Nazaré da Mata/PE,32673,1136
Nazaré do Piauí/PI,7307,404
Nazaré/BA,28661,2758
Nazaré/TO,3772,540
Nazária/PI,8632,441
Nazário/GO,9375,1063
Nepomuceno/MG,26882,2711
Nerópolis/GO,30931,1751
Neves Paulista/SP,8917,1419
Neópolis/SE,18688,1415
Nhamundá/AM,21710,1884
Nhandeara/SP,11575,1491
Nicolau Vergueiro/RS,1667,107
Nilo Peçanha/BA,14156,673
Nilópolis/RJ,162893,4544
Nina Rodrigues/MA,14826,957
Ninheira/MG,10355,468
Nioaque/MS,13794,1080
Nipoã/SP,5381,509
Niquelândia/GO,47064,5214
Niterói/RJ,516981,56528
Nobres/MT,15332,2157
Nonoai/RS,11574,2079
Nordestina/BA,13197,663
Normandia/RR,11772,626
Nortelândia/MT,5858,902
Nossa Senhora Aparecida/SE,8822,833
Nossa Senhora da Glória/SE,37715,2791
Nossa Senhora das Dores/SE,26957,2116
Nossa Senhora das Graças/PR,4009,616
Nossa Senhora de Lourdes/SE,6509,496
Nossa Senhora de Nazaré/PI,4911,492
Nossa Senhora do Livramento/MT,13093,1132
Nossa Senhora do Socorro/SE,187733,18095
Nossa Senhora dos Remédios/PI,8751,749
Nova Aliança do Ivaí/PR,1560,148
Nova Aliança/SP,7161,1155
Nova Alvorada do Sul/MS,22967,2501
Nova Alvorada/RS,3698,661
Nova América da Colina/PR,3424,436
Nova América/GO,2362,349
Nova Andradina/MS,56057,4071
Nova Araçá/RS,4890,1201
Nova Aurora/GO,2236,200
Nova Aurora/PR,10131,1637
Nova Bandeirantes/MT,16052,995
Nova Bassano/RS,10089,1850
Nova Belém/MG,3067,399
Nova Boa Vista/RS,1731,326
Nova Brasilândia D'Oeste/RO,20504,2303
Nova Brasilândia/MT,3656,393
Nova Bréscia/RS,3345,535
Nova Campina/SP,9962,891
Nova Canaã Paulista/SP,1824,300
Nova Canaã do Norte/MT,12876,1650
Nova Canaã/BA,16482,721
Nova Candelária/RS,2677,462
Nova Cantu/PR,4827,802
Nova Castilho/SP,1290,112
Nova Colinas/MA,5469,433
Nova Crixás/GO,13020,2222
Nova Cruz/RN,37554,2387
Nova Era/MG,17524,2216
Nova Erechim/SC,5163,696
Nova Esperança do Piriá/PA,21519,1494
Nova Esperança do Sudoeste/PR,5014,642
Nova Esperança do Sul/RS,5465,1138
Nova Esperança/PR,28062,2429
Nova Europa/SP,11519,829
Nova Floresta/PB,10614,1010
Nova Friburgo/RJ,191664,25113
Nova Fátima/BA,7830,679
Nova Fátima/PR,8120,681
Nova Glória/GO,8063,1040
Nova Granada/SP,21871,3290
Nova Guarita/MT,4407,873
Nova Guataporanga/SP,2333,218
Nova Hartz/RS,22147,2728
Nova Ibiá/BA,6518,607
Nova Iguaçu de Goiás/GO,2939,298
Nova Iguaçu/RJ,825388,26174
Nova Independência/SP,4135,551
Nova Iorque/MA,4682,151
Nova Ipixuna/PA,17027,1203
Nova Itaberaba/SC,4327,490
Nova Itarana/BA,8328,756
Nova Lacerda/MT,6861,1034
Nova Laranjeiras/PR,11462,932
Nova Lima/MG,97378,18601
Nova Londrina/PR,13188,1745
Nova Luzitânia/SP,4217,386
Nova Mamoré/RO,32184,3609
Nova Marilândia/MT,3332,413
Nova Maringá/MT,9056,710
Nova Monte Verde/MT,9375,1662
Nova Mutum/MT,48222,9334
Nova Módica/MG,3548,458
Nova Nazaré/MT,4013,385
Nova Odessa/SP,61716,7273
Nova Olinda do Maranhão/MA,21228,521
Nova Olinda do Norte/AM,38665,2635
Nova Olinda/CE,15798,1403
Nova Olinda/PB,5892,444
Nova Olinda/TO,12014,1164
Nova Olímpia/MT,20820,1732
Nova Olímpia/PR,5846,710
Nova Palma/RS,6519,617
Nova Palmeira/PB,5011,634
Nova Petrópolis/RS,21717,3384
Nova Ponte/MG,16046,2012
Nova Porteirinha/MG,7493,593
Nova Prata do Iguaçu/PR,10540,1252
Nova Prata/RS,28021,3971
Nova Pádua/RS,2563,369
Nova Ramada/RS,2195,363
Nova Redenção/BA,9126,214
Nova Resende/MG,16937,1823
Nova Roma do Sul/RS,3743,422
Nova Roma/GO,3208,264
Nova Rosalândia/TO,4348,463
Nova Russas/CE,32487,4220
Nova Santa Bárbara/PR,4304,590
Nova Santa Helena/MT,3755,542
Nova Santa Rita/PI,4392,147
Nova Santa Rita/RS,30482,2912
Nova Santa Rosa/PR,8311,1028
Nova Serrana/MG,108241,6698
Nova Soure/BA,27047,849
Nova Tebas/PR,5252,572
Nova Timboteua/PA,15646,1147
Nova Trento/SC,15010,2350
Nova Ubiratã/MT,12492,992
Nova União/MG,5739,362
Nova União/RO,6822,860
Nova Veneza/GO,10193,1378
Nova Veneza/SC,15515,3017
Nova Venécia/ES,50751,6711
Nova Viçosa/BA,44170,2805
Nova Xavantina/MT,21695,3620
Novais/SP,6057,306
Novo Acordo/TO,4450,421
Novo Airão/AM,20395,2417
Novo Alegre/TO,2332,158
Novo Aripuanã/AM,26443,2046
Novo Barreiro/RS,4185,852
Novo Brasil/GO,2775,427
Novo Cabrais/RS,4246,535
Novo Cruzeiro/MG,31339,1693
Novo Gama/GO,119649,6259
Novo Hamburgo/RS,247303,29806
Novo Horizonte do Norte/MT,4069,469
Novo Horizonte do Oeste/RO,8125,676
Novo Horizonte do Sul/MS,3556,499
Novo Horizonte/BA,12653,467
Novo Horizonte/SC,2366,261
Novo Horizonte/SP,41765,6065
Novo Itacolomi/PR,2836,310
Novo Jardim/TO,2768,282
Novo Lino/AL,12837,238
Novo Machado/RS,3191,169
Novo Mundo/MT,9545,1006
Novo Oriente de Minas/MG,10800,590
Novo Oriente do Piauí/PI,6548,416
Novo Oriente/CE,28737,1723
Novo Planalto/GO,4592,350
Novo Progresso/PA,25769,2698
Novo Repartimento/PA,78488,2122
Novo Santo Antônio/MT,2769,355
Novo Santo Antônio/PI,3014,261
Novo São Joaquim/MT,4837,749
Novo Tiradentes/RS,2189,121
Novo Triunfo/BA,15445,655
Novo Xingu/RS,1705,195
Novorizonte/MG,5348,237
Nuporanga/SP,7522,407
Não-Me-Toque/RS,17886,3041
Nísia Floresta/RN,28266,2449
Ocara/CE,25958,2184
Ocauçu/SP,4294,441
Oeiras do Pará/PA,33182,1577
Oeiras/PI,37138,5046
Oiapoque/AP,28534,5635
Olaria/MG,1694,60
Olho D'Água do Piauí/PI,2477,258
Olho d'Água Grande/AL,5133,211
Olho d'Água das Cunhãs/MA,19616,936
Olho d'Água das Flores/AL,21690,1688
Olho d'Água do Casado/AL,9507,142
Olho d'Água/PB,6399,413
Olho-d'Água do Borges/RN,4231,1138
Olhos-d'Água/MG,6243,218
Olinda Nova do Maranhão/MA,14968,833
Olinda/PE,393734,25168
Olindina/BA,28373,1466
Olivedos/PB,3989,380
Oliveira Fortes/MG,2128,109
Oliveira de Fátima/TO,1124,151
Oliveira dos Brejinhos/BA,21797,1146
Oliveira/MG,41987,5591
Olivença/AL,11681,468
Olímpia/SP,55477,10527
Olímpio Noronha/MG,2829,187
Onda Verde/SP,4462,927
Onça de Pitangui/MG,3155,204
Oratórios/MG,4671,339
Oriente/SP,6569,421
Orindiúva/SP,7318,1332
Oriximiná/PA,74921,8205
Orizona/GO,15834,626
Orizânia/MG,8138,641
Orleans/SC,23161,5494
Orlândia/SP,44682,4745
Orobó/PE,23985,1302
Orocó/PE,15309,733
Ortigueira/PR,21783,2299
Orós/CE,21342,4070
Osasco/SP,701428,45580
Oscar Bressane/SP,2603,339
Osvaldo Cruz/SP,33118,4538
Osório/RS,46815,9948
Otacílio Costa/SC,19201,3838
Ouricuri/PE,70466,3229
Ourilândia do Norte/PA,33831,5523
Ourinhos/SP,115139,15299
Ourizona/PR,3423,341
Ouriçangas/BA,8575,545
Ouro Branco/AL,11573,630
Ouro Branco/MG,40220,5057
Ouro Branco/RN,4813,559
Ouro Fino/MG,33938,2993
Ouro Preto do Oeste/RO,35445,4804
Ouro Preto/MG,74824,6362
Ouro Velho/PB,3052,359
Ouro Verde de Goiás/GO,3679,487
Ouro Verde de Minas/MG,5895,358
Ouro Verde do Oeste/PR,6036,986
Ouro Verde/SC,2197,382
Ouro Verde/SP,8676,1014
Ouro/SC,7251,1627
Ouroeste/SP,10712,1412
Ourolândia/BA,17567,1714
Ourém/PA,18079,410
Ouvidor/GO,6895,830
Pacaembu/SP,14326,1358
Pacajus/CE,74145,5923
Pacajá/PA,49110,2254
Pacaraima/RR,20108,2390
Pacatuba/CE,85647,6256
Pacatuba/SE,14650,831
Pacoti/CE,12313,1445
Pacujá/CE,6565,641
Padre Bernardo/GO,35011,2254
Padre Carvalho/MG,6466,289
Padre Marcos/PI,6879,526
Padre Paraíso/MG,20346,1118
Paes Landim/PI,4124,111
Pai Pedro/MG,6098,171
Paial/SC,1444,216
Paim Filho/RS,3731,561
Paineiras/MG,4440,297
Painel/SC,2352,186
Pains/MG,8308,1017
Paiva/MG,1517,100
Paiçandu/PR,42251,5225
Pajeú do Piauí/PI,3416,89
Palestina de Goiás/GO,3470,311
Palestina do Pará/PA,7575,756
Palestina/AL,5061,505
Palestina/SP,13285,671
Palhano/CE,9458,1453
Palhoça/SC,178679,29965
