#municipalities,population,cases
Boa Vista do Ramos/AM,20040,1000
Boa Vista do Sul/RS,2773,336
Boa Vista do Tupim/BA,18491,290
Boa Vista/PB,7218,860
Boa Vista/RR,436591,96839
Boca da Mata/AL,27429,1921
Boca do Acre/AM,34958,2675
Bocaina de Minas/MG,5088,200
Bocaina do Sul/SC,3501,401
Bocaina/PI,4509,368
Bocaina/SP,12571,1361
Bocaiúva do Sul/PR,13308,2204
Bocaiúva/MG,50521,2769
Bodocó/PE,38605,2185
Bodoquena/MS,7802,609
Bodó/RN,2171,195
Bofete/SP,12107,971
Boituva/SP,63310,6656
Bom Conselho/PE,48975,2339
Bom Despacho/MG,51436,6015
Bom Jardim da Serra/SC,4801,722
Bom Jardim de Goiás/GO,8912,1335
Bom Jardim de Minas/MG,6444,558
Bom Jardim/MA,42010,1479
Bom Jardim/PE,40038,1796
Bom Jardim/RJ,27779,2023
Bom Jesus da Lapa/BA,70151,6178
Bom Jesus da Penha/MG,4270,720
Bom Jesus da Serra/BA,9768,486
Bom Jesus das Selvas/MA,35095,3701
Bom Jesus de Goiás/GO,26069,3241
Bom Jesus do Amparo/MG,6182,301
Bom Jesus do Araguaia/MT,6830,1098
Bom Jesus do Galho/MG,14792,805
Bom Jesus do Itabapoana/RJ,37306,4390
Bom Jesus do Norte/ES,9988,1276
Bom Jesus do Oeste/SC,2136,185
Bom Jesus do Sul/PR,3472,507
Bom Jesus do Tocantins/PA,17254,787
Bom Jesus do Tocantins/TO,5120,176
Bom Jesus dos Perdões/SP,26506,2480
Bom Jesus/PB,2588,194
Bom Jesus/PI,25584,3812
Bom Jesus/RN,10323,989
Bom Jesus/RS,11270,1012
Bom Jesus/SC,3104,530
Bom Lugar/MA,16578,534
Bom Princípio do Piauí/PI,5670,142
Bom Princípio/RS,14446,2211
Bom Progresso/RS,1858,189
Bom Repouso/MG,10527,1222
Bom Retiro do Sul/RS,12448,1071
Bom Retiro/SC,10153,910
Bom Sucesso de Itararé/SP,4013,259
Bom Sucesso do Sul/PR,3244,530
Bom Sucesso/MG,17612,1284
Bom Sucesso/PB,4937,508
Bom Sucesso/PR,7103,1312
Bombinhas/SC,20889,3713
Bonfim do Piauí/PI,5700,487
Bonfim/MG,6852,491
Bonfim/RR,12701,2515
