cities,population,cases
Inhumas(GO),52866,112
Ipameri(GO),26985,21
Ipiranga de Goiás(GO),2893,1
Iporá(GO),31531,80
Israelândia(GO),2800,2
Itaberaí(GO),42900,24
Itaguari(GO),4676,0
Itaguaru(GO),5237,3
Itajá(GO),4539,4
Itapaci(GO),22981,17
Itapirapuã(GO),4997,1
Itapuranga(GO),25768,4
Itarumã(GO),7178,0
Itauçu(GO),8938,1
Itumbiara(GO),104742,78
Ivolândia(GO),2370,3
Jandaia(GO),6048,3
Jaraguá(GO),50511,21
Jataí(GO),100882,221
Jaupaci(GO),2879,2
Jesúpolis(GO),2490,3
Joviânia(GO),7387,2
Jussara(GO),18478,10
Lagoa Santa(GO),1588,0
Leopoldo de Bulhões(GO),7647,32
Luziânia(GO),208299,395
Mairipotaba(GO),2368,0
Mambaí(GO),8882,0
Mara Rosa(GO),9503,10
Marzagão(GO),2236,0
Matrinchã(GO),4351,0
Maurilândia(GO),14080,64
Mimoso de Goiás(GO),2597,4
Minaçu(GO),29070,8
Mineiros(GO),66801,179
Moiporá(GO),1529,0
Monte Alegre de Goiás(GO),8606,2
Montes Claros de Goiás(GO),8055,6
Montividiu(GO),13396,18
Montividiu do Norte(GO),4479,1
Morrinhos(GO),46136,47
Morro Agudo de Goiás(GO),2248,0
Mossâmedes(GO),4290,3
Mozarlândia(GO),15659,2
Mundo Novo(GO),4887,3
Mutunópolis(GO),3778,3
Nazário(GO),9142,3
Nerópolis(GO),29850,10
Niquelândia(GO),46388,32
Nova América(GO),2352,1
Nova Aurora(GO),2210,1
Nova Crixás(GO),12869,1
Nova Glória(GO),8164,20
Nova Iguaçu de Goiás(GO),2929,2
Nova Roma(GO),3264,0
Nova Veneza(GO),9853,5
Novo Brasil(GO),2913,3
Novo Gama(GO),115711,245
Novo Planalto(GO),4495,0
Orizona(GO),15615,1
Ouro Verde de Goiás(GO),3759,2
Ouvidor(GO),6667,2
Padre Bernardo(GO),33835,73
Palestina de Goiás(GO),3464,0
Palmeiras de Goiás(GO),28858,34
Palmelo(GO),2381,0
Palminópolis(GO),3585,1
Panamá(GO),2615,1
Paranaiguara(GO),10057,5
Paraúna(GO),10988,17
Perolândia(GO),3129,1
Petrolina de Goiás(GO),10281,1
Pilar de Goiás(GO),2253,0
Piracanjuba(GO),24524,26
Piranhas(GO),10385,9
Pirenópolis(GO),24908,6
Pires do Rio(GO),31458,52
Planaltina(GO),89918,216
Pontalina(GO),17819,1
Porangatu(GO),45394,47
Porteirão(GO),3881,3
Portelândia(GO),4011,3
Posse(GO),36900,16
Professor Jamil(GO),3223,7
Quirinópolis(GO),50065,74
Rialma(GO),10918,25
Rianápolis(GO),4801,1
Rio Quente(GO),4493,0
Rio Verde(GO),235647,2195
Rubiataba(GO),19882,35
Sanclerlândia(GO),7637,0
Santa Bárbara de Goiás(GO),6560,0
Santa Cruz de Goiás(GO),2855,0
Santa Fé de Goiás(GO),5459,2
Santa Helena de Goiás(GO),38648,147
Santa Isabel(GO),3809,5
Santa Rita do Araguaia(GO),8756,3
Santa Rita do Novo Destino(GO),3343,1
Santa Rosa de Goiás(GO),2319,2
Santa Tereza de Goiás(GO),3355,2
Santa Terezinha de Goiás(GO),8744,1
Santo Antônio da Barra(GO),4821,1
Santo Antônio de Goiás(GO),6283,21
Santo Antônio do Descoberto(GO),74744,231
Senador Canedo(GO),115371,303
Serranópolis(GO),8544,1
Silvânia(GO),20695,21
Simolândia(GO),6856,0
São Domingos(GO),12949,0
São Francisco de Goiás(GO),6264,4
São João d'Aliança(GO),13740,22
São João da Paraúna(GO),1381,0
São Luiz do Norte(GO),5167,1
São Luís de Montes Belos(GO),33817,25
São Miguel do Araguaia(GO),21993,6
São Miguel do Passa Quatro(GO),4057,0
São Patrício(GO),2036,0
São Simão(GO),20645,78
Sítio d'Abadia(GO),2989,0
Taquaral de Goiás(GO),3529,0
Teresina de Goiás(GO),3458,0
Terezópolis de Goiás(GO),8043,9
Trindade(GO),127599,127
Trombas(GO),3500,0
Três Ranchos(GO),2833,0
Turvelândia(GO),5281,3
Turvânia(GO),4598,4
Uirapuru(GO),2854,0
Uruana(GO),13843,15
Uruaçu(GO),40532,47
Urutaí(GO),3072,2
Valparaíso de Goiás(GO),168468,354
Varjão(GO),3827,0
Vianópolis(GO),13863,20
Vicentinópolis(GO),8743,1
Vila Boa(GO),6171,1
Vila Propício(GO),5821,0
Água Fria de Goiás(GO),5735,3
Água Limpa(GO),1850,0
Águas Lindas de Goiás(GO),212440,494
Abaré(BA),20086,0
Abaíra(BA),8739,5
Acajutiba(BA),15159,5
Adustina(BA),17040,7
Aiquara(BA),4446,10
Alagoinhas(BA),151596,260
Alcobaça(BA),22470,8
Almadina(BA),5464,5
Amargosa(BA),37241,21
Amélia Rodrigues(BA),25102,43
América Dourada(BA),16094,0
Anagé(BA),22005,3
Andaraí(BA),13143,2
Andorinha(BA),14595,3
Angical(BA),13977,1
Anguera(BA),11221,23
Antas(BA),19291,2
Antônio Cardoso(BA),11683,6
