#city,population,cases
Buriti de Goiás(GO),2488,170
Buritinópolis(GO),3292,127
Cabeceiras(GO),7993,237
Cachoeira Alta(GO),12484,1045
Cachoeira Dourada(GO),8067,367
Cachoeira de Goiás(GO),1351,50
Caiapônia(GO),18913,834
Caldas Novas(GO),91162,6546
Caldazinha(GO),3804,195
Campestre de Goiás(GO),3630,373
Campinaçu(GO),3640,175
Campinorte(GO),12626,1018
Campo Alegre de Goiás(GO),7589,183
Campo Limpo de Goiás(GO),7789,150
Campos Belos(GO),19887,982
Campos Verdes(GO),2141,174
Carmo do Rio Verde(GO),10082,452
Castelândia(GO),3435,250
Catalão(GO),108823,7465
Caturaí(GO),5070,399
Cavalcante(GO),9709,176
Caçu(GO),16009,1161
Ceres(GO),22191,2150
Cezarina(GO),8606,685
Chapadão do Céu(GO),10167,2049
Cidade Ocidental(GO),71376,4750
Cocalzinho de Goiás(GO),20240,1061
Colinas do Sul(GO),3382,208
Corumbaíba(GO),9723,793
Corumbá de Goiás(GO),11110,462
Cristalina(GO),58997,1966
Cristianópolis(GO),2966,245
Crixás(GO),16949,1864
Cromínia(GO),3486,182
Cumari(GO),2854,233
Córrego do Ouro(GO),2327,224
Damianópolis(GO),3311,48
Damolândia(GO),2938,166
Davinópolis(GO),2094,72
Diorama(GO),2484,92
Divinópolis de Goiás(GO),4804,191
Doverlândia(GO),7322,377
Edealina(GO),3699,411
Edéia(GO),12372,1053
Estrela do Norte(GO),3275,203
Faina(GO),6627,415
Fazenda Nova(GO),5637,302
Firminópolis(GO),13292,465
Flores de Goiás(GO),16557,144
Formosa(GO),121617,6701
Formoso(GO),4248,393
Gameleira de Goiás(GO),3818,265
Goiandira(GO),5600,261
Goianira(GO),44289,2762
Goianápolis(GO),11231,867
Goianésia(GO),70084,7261
Goiatuba(GO),34095,3554
Goiás(GO),22645,872
Goiânia(GO),1516113,127228
Gouvelândia(GO),5898,258
Guapó(GO),14209,1119
Guarani de Goiás(GO),3893,159
Guaraíta(GO),1996,163
Guarinos(GO),1794,104
Heitoraí(GO),3724,104
Hidrolina(GO),3564,231
Hidrolândia(GO),21706,1817
Iaciara(GO),13947,419
Inaciolândia(GO),6194,422
Indiara(GO),15611,571
Inhumas(GO),52866,6433
Ipameri(GO),26985,1588
Ipiranga de Goiás(GO),2893,117
Iporá(GO),31531,2555
Israelândia(GO),2800,144
Itaberaí(GO),42900,2079
Itaguari(GO),4676,563
Itaguaru(GO),5237,382
Itajá(GO),4539,182
Itapaci(GO),22981,1477
Itapirapuã(GO),4997,538
Itapuranga(GO),25768,2189
Itarumã(GO),7178,289
Itauçu(GO),8938,712
Itumbiara(GO),104742,7116
Ivolândia(GO),2370,180
Jandaia(GO),6048,616
Jaraguá(GO),50511,3791
Jataí(GO),100882,8427
Jaupaci(GO),2879,65
Jesúpolis(GO),2490,108
Joviânia(GO),7387,751
Jussara(GO),18478,1304
Lagoa Santa(GO),1588,81
Leopoldo de Bulhões(GO),7647,370
Luziânia(GO),208299,15250
Mairipotaba(GO),2368,165
Mambaí(GO),8882,159
Mara Rosa(GO),9503,265
Marzagão(GO),2236,198
Matrinchã(GO),4351,170
Maurilândia(GO),14080,778
Mimoso de Goiás(GO),2597,105
Minaçu(GO),29070,1395
Mineiros(GO),66801,8126
Moiporá(GO),1529,51
Monte Alegre de Goiás(GO),8606,149
Montes Claros de Goiás(GO),8055,706
Montividiu(GO),13396,993
Montividiu do Norte(GO),4479,182
Morrinhos(GO),46136,4885
Morro Agudo de Goiás(GO),2248,151
Mossâmedes(GO),4290,142
Mozarlândia(GO),15659,1485
Mundo Novo(GO),4887,298
Mutunópolis(GO),3778,257
Nazário(GO),9142,640
Nerópolis(GO),29850,1257
Niquelândia(GO),46388,2217
Nova América(GO),2352,217
Nova Aurora(GO),2210,148
Nova Crixás(GO),12869,942
Nova Glória(GO),8164,591
Nova Iguaçu de Goiás(GO),2929,129
Nova Roma(GO),3264,124
Nova Veneza(GO),9853,793
Novo Brasil(GO),2913,282
Novo Gama(GO),115711,3545
Novo Planalto(GO),4495,232
Orizona(GO),15615,531
Ouro Verde de Goiás(GO),3759,216
Ouvidor(GO),6667,543
Padre Bernardo(GO),33835,1278
Palestina de Goiás(GO),3464,146
Palmeiras de Goiás(GO),28858,4666
Palmelo(GO),2381,198
Palminópolis(GO),3585,337
Panamá(GO),2615,148
Paranaiguara(GO),10057,297
Paraúna(GO),10988,483
Perolândia(GO),3129,113
Petrolina de Goiás(GO),10281,678
Pilar de Goiás(GO),2253,216
Piracanjuba(GO),24524,1549
Piranhas(GO),10385,707
Pirenópolis(GO),24908,1087
Pires do Rio(GO),31458,2082
Planaltina(GO),89918,2748
Pontalina(GO),17819,1330
Porangatu(GO),45394,1819
Porteirão(GO),3881,1290
Portelândia(GO),4011,461
Posse(GO),36900,1363
Professor Jamil(GO),3223,198
Quirinópolis(GO),50065,2112
Rialma(GO),10918,1167
Rianápolis(GO),4801,476
Rio Quente(GO),4493,321
Rio Verde(GO),235647,19830
Rubiataba(GO),19882,2031
Sanclerlândia(GO),7637,480
Santa Bárbara de Goiás(GO),6560,621
Santa Cruz de Goiás(GO),2855,116
Santa Fé de Goiás(GO),5459,581
Santa Helena de Goiás(GO),38648,4087
Santa Isabel(GO),3809,396
Santa Rita do Araguaia(GO),8756,294
Santa Rita do Novo Destino(GO),3343,157
Santa Rosa de Goiás(GO),2319,160
Santa Tereza de Goiás(GO),3355,133
Santa Terezinha de Goiás(GO),8744,594
Santo Antônio da Barra(GO),4821,329
Santo Antônio de Goiás(GO),6283,661
Santo Antônio do Descoberto(GO),74744,2110
Senador Canedo(GO),115371,11679
Serranópolis(GO),8544,593
Silvânia(GO),20695,1075
Simolândia(GO),6856,161
São Domingos(GO),12949,132
São Francisco de Goiás(GO),6264,310
São João d'Aliança(GO),13740,533
São João da Paraúna(GO),1381,71
São Luiz do Norte(GO),5167,280
São Luís de Montes Belos(GO),33817,3012
São Miguel do Araguaia(GO),21993,1228
São Miguel do Passa Quatro(GO),4057,162
São Patrício(GO),2036,195
São Simão(GO),20645,819
Sítio d'Abadia(GO),2989,21
Taquaral de Goiás(GO),3529,165
Teresina de Goiás(GO),3458,156
Terezópolis de Goiás(GO),8043,715
Trindade(GO),127599,6906
Trombas(GO),3500,345
Três Ranchos(GO),2833,128
Turvelândia(GO),5281,561
Turvânia(GO),4598,523
Uirapuru(GO),2854,120
Uruana(GO),13843,721
Uruaçu(GO),40532,2849
Urutaí(GO),3072,132
Valparaíso de Goiás(GO),168468,10136
Varjão(GO),3827,189
Vianópolis(GO),13863,566
Vicentinópolis(GO),8743,832
Vila Boa(GO),6171,96
Vila Propício(GO),5821,299
Água Fria de Goiás(GO),5735,155
Água Limpa(GO),1850,78
Águas Lindas de Goiás(GO),212440,5965
Abaré(BA),20086,612
Abaíra(BA),8739,242
Acajutiba(BA),15159,449
Adustina(BA),17040,516
Aiquara(BA),4446,435
Alagoinhas(BA),151596,10301
Alcobaça(BA),22470,1160
Almadina(BA),5464,575
Amargosa(BA),37241,2128
Amélia Rodrigues(BA),25102,1674
América Dourada(BA),16094,506
Anagé(BA),22005,630
Andaraí(BA),13143,603
Andorinha(BA),14595,635
Angical(BA),13977,383
Anguera(BA),11221,302
Antas(BA),19291,976
Antônio Cardoso(BA),11683,300
Antônio Gonçalves(BA),11798,557
Aporá(BA),17731,429
Apuarema(BA),7330,610
Aracatu(BA),13135,658
Araci(BA),54379,3110
Aramari(BA),11397,499
Arataca(BA),11019,442
Aratuípe(BA),8825,276
Araçás(BA),12177,515
Aurelino Leal(BA),11531,790
Baianópolis(BA),13877,307
Baixa Grande(BA),20468,549
Banzaê(BA),13229,802
Barra(BA),53578,1378
Barra da Estiva(BA),20598,1276
Barra do Choça(BA),31603,1659
Barra do Mendes(BA),13865,588
Barra do Rocha(BA),5714,324
Barreiras(BA),155439,10755
Barro Alto(BA),14931,609
Barro Preto(BA),5591,488
Barrocas(BA),15978,639
Belmonte(BA),23328,869
Belo Campo(BA),17211,535
Biritinga(BA),15979,270
Boa Nova(BA),12633,643
Boa Vista do Tupim(BA),18576,164
Bom Jesus da Lapa(BA),69148,2529
Bom Jesus da Serra(BA),9880,396
Boninal(BA),14368,557
Bonito(BA),16764,596
Boquira(BA),21508,412
Botuporã(BA),10211,176
Brejolândia(BA),10557,129
Brejões(BA),14295,512
Brotas de Macaúbas(BA),10231,56
Brumado(BA),67195,7446
Buerarema(BA),18349,1189
Buritirama(BA),21174,684
Caatiba(BA),6758,629
Cabaceiras do Paraguaçu(BA),18807,389
Cachoeira(BA),33470,1117
Caculé(BA),23170,1153
Caetanos(BA),14542,496
Caetité(BA),50975,1713
Cafarnaum(BA),18437,732
Cairu(BA),18176,993
Caldeirão Grande(BA),13327,533
Camacan(BA),31988,2272
Camamu(BA),35316,1855
Camaçari(BA),299132,19183
Campo Alegre de Lourdes(BA),28798,464
Campo Formoso(BA),71206,3156
Canarana(BA),26176,1061
Canavieiras(BA),31099,923
Candeal(BA),8258,424
Candeias(BA),87076,5559
Candiba(BA),14319,493
Cansanção(BA),34834,640
Canudos(BA),16668,452
Canápolis(BA),9711,214
Capela do Alto Alegre(BA),11637,698
Capim Grosso(BA),30662,2982
Caravelas(BA),22016,1072
Caraíbas(BA),8951,229
Cardeal da Silva(BA),9295,256
Carinhanha(BA),29018,684
Casa Nova(BA),71969,1416
Castro Alves(BA),26264,1076
Catolândia(BA),3577,118
Catu(BA),54704,4565
Caturama(BA),9329,186
Caém(BA),9213,382
Central(BA),17266,283
Chorrochó(BA),11177,95
Cipó(BA),17300,517
Coaraci(BA),16993,1601
Cocos(BA),18777,507
Conceição da Feira(BA),22581,1104
Conceição do Almeida(BA),17247,1812
Conceição do Coité(BA),66612,6970
Conceição do Jacuípe(BA),33153,2142
Conde(BA),25837,655
Condeúba(BA),17247,652
Contendas do Sincorá(BA),4066,172
Coração de Maria(BA),22605,1147
Cordeiros(BA),8614,561
Coribe(BA),14194,727
Coronel João Sá(BA),15895,643
Correntina(BA),32137,1675
Cotegipe(BA),13782,285
Cravolândia(BA),5349,177
Cristópolis(BA),13910,519
Crisópolis(BA),21103,280
Cruz das Almas(BA),63239,3651
Curaçá(BA),34700,860
Cândido Sales(BA),25189,1557
Cícero Dantas(BA),32515,1241
Dias d'Ávila(BA),81089,4682
Dom Basílio(BA),12199,659
Dom Macedo Costa(BA),4058,332
Dário Meira(BA),10710,758
Elísio Medrado(BA),8122,411
Encruzilhada(BA),17006,552
Entre Rios(BA),41780,1078
Esplanada(BA),37237,1316
Euclides da Cunha(BA),60585,2073
Eunápolis(BA),113380,8274
Feira da Mata(BA),5665,153
Feira de Santana(BA),614872,35564
Filadélfia(BA),16377,900
Firmino Alves(BA),5617,290
Floresta Azul(BA),10629,709
Formosa do Rio Preto(BA),25591,684
Fátima(BA),17890,729
Gandu(BA),32403,2390
Gavião(BA),4463,303
Gentio do Ouro(BA),11233,307
Glória(BA),15221,493
Gongogi(BA),7128,433
Governador Mangabeira(BA),20722,725
Guajeru(BA),6937,264
Guanambi(BA),84481,5840
Guaratinga(BA),20843,1082
Heliópolis(BA),13031,440
Iaçu(BA),24305,1146
Ibiassucê(BA),9224,262
Ibicaraí(BA),21689,1770
Ibicoara(BA),19571,526
Ibicuí(BA),16198,1005
Ibipeba(BA),18211,860
Ibipitanga(BA),14902,830
Ibiquera(BA),4044,106
Ibirapitanga(BA),23375,1380
Ibirapuã(BA),8637,779
Ibirataia(BA),15312,2077
Ibitiara(BA),16339,465
Ibititá(BA),17113,1124
Ibotirama(BA),26927,750
Ichu(BA),6206,318
Igaporã(BA),15640,386
Igrapiúna(BA),13226,656
Iguaí(BA),26916,775
Ilhéus(BA),162327,16023
Inhambupe(BA),39926,1293
Ipecaetá(BA),14487,245
Ipiaú(BA),45873,2940
Ipirá(BA),59595,1475
Ipupiara(BA),9865,187
Irajuba(BA),7260,265
Iramaia(BA),8537,119
