cities,population,cases
Tauá(CE),58859,1097
Tejuçuoca(CE),19187,449
Tianguá(CE),75946,3394
Trairi(CE),55918,673
Tururu(CE),16271,467
Ubajara(CE),34792,909
Umari(CE),7733,62
Umirim(CE),19825,281
Uruburetama(CE),21850,718
Uruoca(CE),13840,567
Varjota(CE),18420,851
Viçosa do Ceará(CE),60889,1764
Várzea Alegre(CE),40721,780
Afonso Cláudio(ES),30586,770
Alegre(ES),30084,320
Alfredo Chaves(ES),14601,443
Alto Rio Novo(ES),7836,161
Anchieta(ES),29263,807
Apiacá(ES),7567,144
Aracruz(ES),101220,3259
Atilio Vivacqua(ES),11936,306
Baixo Guandu(ES),30998,689
Barra de São Francisco(ES),44650,698
Boa Esperança(ES),15037,324
Bom Jesus do Norte(ES),9936,280
Brejetuba(ES),12404,433
Cachoeiro de Itapemirim(ES),208972,5048
Cariacica(ES),381285,11014
Castelo(ES),37534,1258
Colatina(ES),122499,5698
Conceição da Barra(ES),31063,308
Conceição do Castelo(ES),12723,234
Divino de São Lourenço(ES),4304,116
Domingos Martins(ES),33850,657
Dores do Rio Preto(ES),6749,83
Ecoporanga(ES),22923,846
Fundão(ES),21509,601
Governador Lindenberg(ES),12709,260
Guarapari(ES),124859,2946
Guaçuí(ES),30867,326
Ibatiba(ES),26082,572
Ibiraçu(ES),12479,529
Ibitirama(ES),8889,96
Iconha(ES),13860,452
Irupi(ES),13377,235
Itaguaçu(ES),14066,137
Itapemirim(ES),34348,1234
Itarana(ES),10555,157
Iúna(ES),29161,574
Jaguaré(ES),30477,649
Jerônimo Monteiro(ES),12192,225
João Neiva(ES),16668,408
Laranja da Terra(ES),10947,103
Linhares(ES),173555,6162
Mantenópolis(ES),15350,214
Marataízes(ES),38499,1485
Marechal Floriano(ES),16694,716
Marilândia(ES),12833,371
Mimoso do Sul(ES),26153,748
Montanha(ES),18833,259
Mucurici(ES),5524,88
Muniz Freire(ES),17465,232
Muqui(ES),15449,333
Nova Venécia(ES),50110,1065
Pancas(ES),23184,525
Pedro Canário(ES),26184,481
Pinheiros(ES),27047,612
Piúma(ES),21711,581
Ponto Belo(ES),7863,78
Presidente Kennedy(ES),11574,731
Rio Bananal(ES),19141,385
Rio Novo do Sul(ES),11622,361
Santa Leopoldina(ES),12224,213
Santa Maria de Jetibá(ES),40431,666
Santa Teresa(ES),23590,501
Serra(ES),517510,14021
Sooretama(ES),30070,755
São Domingos do Norte(ES),8638,298
São Gabriel da Palha(ES),37947,1607
São José do Calçado(ES),10556,291
São Mateus(ES),130611,2855
São Roque do Canaã(ES),12415,183
Vargem Alta(ES),21402,453
Venda Nova do Imigrante(ES),25277,879
Viana(ES),78239,1709
Vila Pavão(ES),9208,97
Vila Valério(ES),14080,441
Vila Velha(ES),493838,16290
Vitória(ES),362097,14114
Água Doce do Norte(ES),11019,166
Águia Branca(ES),9642,351
Abadia de Goiás(GO),8773,441
Abadiânia(GO),20042,100
Acreúna(GO),22366,373
Adelândia(GO),2516,58
Alexânia(GO),27653,858
Aloândia(GO),1995,50
Alto Horizonte(GO),6414,132
Alto Paraíso de Goiás(GO),7624,127
Alvorada do Norte(GO),8660,156
Amaralina(GO),3812,3
Americano do Brasil(GO),6111,130
Amorinópolis(GO),3126,28
Anhanguera(GO),1149,14
Anicuns(GO),21850,544
Anápolis(GO),386923,6840
Aparecida de Goiânia(GO),578179,20697
Aparecida do Rio Doce(GO),2474,56
Aporé(GO),4198,5
Aragarças(GO),20118,584
Aragoiânia(GO),10308,232
Araguapaz(GO),7770,110
Araçu(GO),3522,51
Arenópolis(GO),2612,24
Aruanã(GO),9875,84
Aurilândia(GO),3120,47
Avelinópolis(GO),2417,91
Baliza(GO),5138,14
Barro Alto(GO),11167,222
Bela Vista de Goiás(GO),29975,625
Bom Jardim de Goiás(GO),8841,117
Bom Jesus de Goiás(GO),25216,193
Bonfinópolis(GO),9706,196
Bonópolis(GO),4405,19
Brazabrantes(GO),3703,67
Britânia(GO),5779,82
Buriti Alegre(GO),9459,213
Buriti de Goiás(GO),2488,63
Buritinópolis(GO),3292,34
Cabeceiras(GO),7993,57
Cachoeira Alta(GO),12484,495
Cachoeira Dourada(GO),8067,48
Cachoeira de Goiás(GO),1351,16
Caiapônia(GO),18913,117
Caldas Novas(GO),91162,1060
Caldazinha(GO),3804,59
Campestre de Goiás(GO),3630,119
Campinaçu(GO),3640,117
Campinorte(GO),12626,260
Campo Alegre de Goiás(GO),7589,7
Campo Limpo de Goiás(GO),7789,18
Campos Belos(GO),19887,199
Campos Verdes(GO),2141,28
Carmo do Rio Verde(GO),10082,61
Castelândia(GO),3435,22
Catalão(GO),108823,1585
Caturaí(GO),5070,89
Cavalcante(GO),9709,19
Caçu(GO),16009,364
Ceres(GO),22191,674
Cezarina(GO),8606,107
Chapadão do Céu(GO),10167,283
Cidade Ocidental(GO),71376,2310
Cocalzinho de Goiás(GO),20240,400
Colinas do Sul(GO),3382,52
Corumbaíba(GO),9723,62
Corumbá de Goiás(GO),11110,93
Cristalina(GO),58997,484
Cristianópolis(GO),2966,32
Crixás(GO),16949,340
Cromínia(GO),3486,28
Cumari(GO),2854,16
Córrego do Ouro(GO),2327,45
Damianópolis(GO),3311,5
Damolândia(GO),2938,60
Davinópolis(GO),2094,16
Diorama(GO),2484,16
Divinópolis de Goiás(GO),4804,53
Doverlândia(GO),7322,69
Edealina(GO),3699,59
Edéia(GO),12372,221
Estrela do Norte(GO),3275,18
Faina(GO),6627,211
Fazenda Nova(GO),5637,32
Firminópolis(GO),13292,142
Flores de Goiás(GO),16557,58
Formosa(GO),121617,1688
Formoso(GO),4248,22
Gameleira de Goiás(GO),3818,62
Goiandira(GO),5600,38
Goianira(GO),44289,487
Goianápolis(GO),11231,281
Goianésia(GO),70084,1591
Goiatuba(GO),34095,832
Goiás(GO),22645,117
Goiânia(GO),1516113,36387
Gouvelândia(GO),5898,72
Guapó(GO),14209,367
Guarani de Goiás(GO),3893,42
Guaraíta(GO),1996,31
Guarinos(GO),1794,14
Heitoraí(GO),3724,32
Hidrolina(GO),3564,159
Hidrolândia(GO),21706,724
Iaciara(GO),13947,85
Inaciolândia(GO),6194,113
Indiara(GO),15611,181
Inhumas(GO),52866,2007
Ipameri(GO),26985,201
Ipiranga de Goiás(GO),2893,24
Iporá(GO),31531,617
Israelândia(GO),2800,33
Itaberaí(GO),42900,978
Itaguari(GO),4676,226
Itaguaru(GO),5237,71
Itajá(GO),4539,24
