#city,population,cases
Viçosa do Ceará(CE),60889,3348
Várzea Alegre(CE),40721,2295
Afonso Cláudio(ES),30586,3085
Alegre(ES),30084,1825
Alfredo Chaves(ES),14601,2064
Alto Rio Novo(ES),7836,644
Anchieta(ES),29263,4138
Apiacá(ES),7567,626
Aracruz(ES),101220,13085
Atilio Vivacqua(ES),11936,1294
Baixo Guandu(ES),30998,3084
Barra de São Francisco(ES),44650,4302
Boa Esperança(ES),15037,1125
Bom Jesus do Norte(ES),9936,851
Brejetuba(ES),12404,1403
Cachoeiro de Itapemirim(ES),208972,22147
Cariacica(ES),381285,34032
Castelo(ES),37534,5183
Colatina(ES),122499,17991
Conceição da Barra(ES),31063,1194
Conceição do Castelo(ES),12723,1151
Divino de São Lourenço(ES),4304,350
Domingos Martins(ES),33850,3148
Dores do Rio Preto(ES),6749,558
Ecoporanga(ES),22923,2589
Fundão(ES),21509,2125
Governador Lindenberg(ES),12709,1460
Guarapari(ES),124859,13073
Guaçuí(ES),30867,1935
Ibatiba(ES),26082,2918
Ibiraçu(ES),12479,1454
Ibitirama(ES),8889,346
Iconha(ES),13860,2320
Irupi(ES),13377,1231
Itaguaçu(ES),14066,1455
Itapemirim(ES),34348,3599
Itarana(ES),10555,1292
Iúna(ES),29161,2117
Jaguaré(ES),30477,3027
Jerônimo Monteiro(ES),12192,1006
João Neiva(ES),16668,2332
Laranja da Terra(ES),10947,571
Linhares(ES),173555,21911
Mantenópolis(ES),15350,778
Marataízes(ES),38499,5520
Marechal Floriano(ES),16694,2736
Marilândia(ES),12833,1875
Mimoso do Sul(ES),26153,2649
Montanha(ES),18833,1277
Mucurici(ES),5524,554
Muniz Freire(ES),17465,2462
Muqui(ES),15449,1746
Nova Venécia(ES),50110,4613
Pancas(ES),23184,2265
Pedro Canário(ES),26184,1788
Pinheiros(ES),27047,2588
Piúma(ES),21711,2298
Ponto Belo(ES),7863,513
Presidente Kennedy(ES),11574,1699
Rio Bananal(ES),19141,1937
Rio Novo do Sul(ES),11622,1299
Santa Leopoldina(ES),12224,909
Santa Maria de Jetibá(ES),40431,4548
Santa Teresa(ES),23590,3766
Serra(ES),517510,54988
Sooretama(ES),30070,2506
São Domingos do Norte(ES),8638,1090
São Gabriel da Palha(ES),37947,5408
São José do Calçado(ES),10556,785
São Mateus(ES),130611,9613
São Roque do Canaã(ES),12415,1582
Vargem Alta(ES),21402,1877
Venda Nova do Imigrante(ES),25277,3807
Viana(ES),78239,6791
Vila Pavão(ES),9208,960
Vila Valério(ES),14080,2476
Vila Velha(ES),493838,53835
Vitória(ES),362097,47307
Água Doce do Norte(ES),11019,712
Águia Branca(ES),9642,1795
Abadia de Goiás(GO),8773,1251
Abadiânia(GO),20042,319
Acreúna(GO),22366,1643
Adelândia(GO),2516,141
Alexânia(GO),27653,2631
Aloândia(GO),1995,213
Alto Horizonte(GO),6414,637
Alto Paraíso de Goiás(GO),7624,524
Alvorada do Norte(GO),8660,599
Amaralina(GO),3812,51
Americano do Brasil(GO),6111,384
Amorinópolis(GO),3126,153
Anhanguera(GO),1149,88
Anicuns(GO),21850,2224
Anápolis(GO),386923,31133
Aparecida de Goiânia(GO),578179,60653
Aparecida do Rio Doce(GO),2474,183
Aporé(GO),4198,315
