"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT003","Linz","POP_CORE","Population of the core area","2005","2005","PER","Persons","0","units",,,186508,,
"AT003","Linz","POP_CORE","Population of the core area","2006","2006","PER","Persons","0","units",,,187267,,
"AT003","Linz","POP_CORE","Population of the core area","2007","2007","PER","Persons","0","units",,,188029,,
"AT003","Linz","POP_CORE","Population of the core area","2008","2008","PER","Persons","0","units",,,188794,,
"AT003","Linz","POP_CORE","Population of the core area","2009","2009","PER","Persons","0","units",,,189562,,
"AT003","Linz","POP_CORE","Population of the core area","2010","2010","PER","Persons","0","units",,,190333,,
"AT003","Linz","POP_CORE","Population of the core area","2011","2011","PER","Persons","0","units",,,191107,,
"AT003","Linz","POP_CORE","Population of the core area","2012","2012","PER","Persons","0","units",,,191884,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","units",,,165.29,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","units",,,165.94,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","units",,,166.6,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","units",,,167.27,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","units",,,167.94,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","units",,,168.62,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","units",,,169.31,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","units",,,170,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","units",,,170.7,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","units",,,171.41,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","units",,,172.12,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","units",,,172.84,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","units",,,173.57,,
"AT003","Linz","POP_GROWTH","Population annual average growth rate","2012","2012","PC","Percentage","0","units",,,0.408,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2000","2000","PER","Persons","0","units",,,399669,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2001","2001","PER","Persons","0","units",,,401229,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2002","2002","PER","Persons","0","units",,,402806,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2003","2003","PER","Persons","0","units",,,404409,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2004","2004","PER","Persons","0","units",,,406033,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2005","2005","PER","Persons","0","units",,,407673,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2006","2006","PER","Persons","0","units",,,409329,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2007","2007","PER","Persons","0","units",,,411014,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2008","2008","PER","Persons","0","units",,,412711,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2009","2009","PER","Persons","0","units",,,414444,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2010","2010","PER","Persons","0","units",,,416181,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2011","2011","PER","Persons","0","units",,,417947,,
"AT003","Linz","POP_HINTER","Population of the hinterland area","2012","2012","PER","Persons","0","units",,,419738,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2000","2000","PC","Percentage","0","units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2001","2001","PC","Percentage","0","units",,,7.29,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2002","2002","PC","Percentage","0","units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2003","2003","PC","Percentage","0","units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2004","2004","PC","Percentage","0","units",,,7.27,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2005","2005","PC","Percentage","0","units",,,7.24,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2006","2006","PC","Percentage","0","units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2007","2007","PC","Percentage","0","units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2008","2008","PC","Percentage","0","units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2009","2009","PC","Percentage","0","units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2010","2010","PC","Percentage","0","units",,,7.24,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2011","2011","PC","Percentage","0","units",,,7.25,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as % of national value","2012","2012","PC","Percentage","0","units",,,7.24,,
"AUT","Austria","POP","Total population metro area","2000","2000","PER","Persons","0","units",,,8002186,,
"AUT","Austria","POP","Total population metro area","2001","2001","PER","Persons","0","units",,,8020946,,
"AUT","Austria","POP","Total population metro area","2002","2002","PER","Persons","0","units",,,8063640,,
"AUT","Austria","POP","Total population metro area","2003","2003","PER","Persons","0","units",,,8100273,,
"AUT","Austria","POP","Total population metro area","2004","2004","PER","Persons","0","units",,,8142573,,
"AUT","Austria","POP","Total population metro area","2005","2005","PER","Persons","0","units",,,8201359,,
"AUT","Austria","POP","Total population metro area","2006","2006","PER","Persons","0","units",,,8254298,,
"AUT","Austria","POP","Total population metro area","2007","2007","PER","Persons","0","units",,,8282984,,
"AUT","Austria","POP","Total population metro area","2008","2008","PER","Persons","0","units",,,8318592,,
"AUT","Austria","POP","Total population metro area","2009","2009","PER","Persons","0","units",,,8355260,,
"AUT","Austria","POP","Total population metro area","2010","2010","PER","Persons","0","units",,,8375290,,
"AUT","Austria","POP","Total population metro area","2011","2011","PER","Persons","0","units",,,8404252,,
"AUT","Austria","POP","Total population metro area","2012","2012","PER","Persons","0","units",,,8443018,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","units",,,97.04,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","units",,,97.27,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","units",,,97.79,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","units",,,98.24,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","units",,,98.76,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","units",,,99.47,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","units",,,100.11,,
