SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
504031057,51057,Beechboro,5009,Perth,47.1105
504031058,51058,Bullsbrook,5000,Not in any Significant Urban Area (WA),253.8629
504031059,51059,Ellenbrook,5009,Perth,37.7884
504031060,51060,Gidgegannup,5000,Not in any Significant Urban Area (WA),304.8874
504031061,51061,Hazelmere - Guildford,5009,Perth,16.919
504031062,51062,Lockridge - Kiara,5009,Perth,14.6126
504031063,51063,Malaga,5009,Perth,6.4045
504031064,51064,Melaleuca - Lexia,5000,Not in any Significant Urban Area (WA),99.6581
504031065,51065,Middle Swan - Herne Hill,5009,Perth,32.1547
504031066,51066,Midland - Guildford,5009,Perth,11.7136
504031067,51067,Stratton - Jane Brook,5009,Perth,23.4944
504031068,51068,The Vines,5009,Perth,66.9985
504031069,51069,Walyunga National Park,5000,Not in any Significant Urban Area (WA),17.9495
505011070,51070,Craigie - Beldon,5009,Perth,7.1316
505011071,51071,Currambine - Kinross,5009,Perth,5.9596
505011072,51072,Duncraig,5009,Perth,7.6491
505011073,51073,Greenwood - Warwick,5009,Perth,8.5644
505011074,51074,Heathridge - Connolly,5009,Perth,6.6259
505011075,51075,Hillarys,5009,Perth,6.2522
505011076,51076,Iluka - Burns Beach,5009,Perth,5.8339
505011077,51077,Joondalup - Edgewater,5009,Perth,15.6229
505011078,51078,Kingsley,5009,Perth,7.8538
505011079,51079,Mullaloo - Kallaroo,5009,Perth,5.888
505011080,51080,Ocean Reef,5009,Perth,5.2646
505011081,51081,Padbury,5009,Perth,6.0348
505011082,51082,Sorrento - Marmion,5009,Perth,4.5955
505011083,51083,Woodvale,5009,Perth,7.1962
505021084,51084,Balcatta - Hamersley,5009,Perth,10.3604
505021085,51085,Balga - Mirrabooka,5009,Perth,9.4486
505021086,51086,Dianella,5009,Perth,11.4949
505021087,51087,Herdsman,5009,Perth,3.1133
505021088,51088,Innaloo - Doubleview,5009,Perth,5.6082
505021089,51089,Karrinyup - Gwelup - Carine,5009,Perth,14.0888
505021090,51090,Nollamara - Westminster,5009,Perth,6.039
505021091,51091,Osborne Park Industrial,5009,Perth,3.4451
505021092,51092,Scarborough,5009,Perth,4.9714
505021093,51093,Stirling - Osborne Park,5009,Perth,6.4972
505021094,51094,Trigg - North Beach - Watermans Bay,5009,Perth,5.7563
505021095,51095,Tuart Hill - Joondanna,5009,Perth,3.6309
505021096,51096,Wembley Downs - Churchlands - Woodlands,5009,Perth,8.0214
505021097,51097,Yokine - Coolbinia - Menora,5009,Perth,6.8505
505031098,51098,Alexander Heights - Koondoola,5009,Perth,6.7014
505031099,51099,Butler - Merriwa - Ridgewood,5009,Perth,9.5699
505031100,51100,Carramar,5009,Perth,30.0077
505031101,51101,Clarkson,5009,Perth,10.7632
505031102,51102,Girrawheen,5009,Perth,4.0937
505031103,51103,Madeley - Darch - Landsdale,5009,Perth,20.3512
505031104,51104,Marangaroo,5009,Perth,4.7933
505031105,51105,Mindarie - Quinns Rocks - Jindalee,5009,Perth,12.6805
505031106,51106,Neerabup National Park,5009,Perth,17.863
505031107,51107,Tapping - Ashby - Sinagra,5009,Perth,47.8116
505031108,51108,Wanneroo,5009,Perth,41.6742
505031255,51255,Alkimos - Eglinton,5009,Perth,32.6642
505031256,51256,Carabooda - Pinjar,5000,Not in any Significant Urban Area (WA),371.0902
505031257,51257,Two Rocks,5011,Yanchep,55.0874
505031258,51258,Yanchep,5011,Yanchep,19.0492
506011110,51110,Armadale - Wungong - Brookdale,5009,Perth,25.3933
506011111,51111,Ashendon - Lesley,5000,Not in any Significant Urban Area (WA),326.2898
506011112,51112,Camillo - Champion Lakes,5009,Perth,8.1254
506011113,51113,Forrestdale - Harrisdale - Piara Waters,5009,Perth,44.2024
506011114,51114,Kelmscott,5009,Perth,15.0443
506011115,51115,Mount Nasura - Mount Richon - Bedfordale,5009,Perth,61.0961
506011116,51116,Roleystone,5009,Perth,74.8096
506011117,51117,Seville Grove,5009,Perth,4.5652
506021118,51118,Belmont - Ascot - Redcliffe,5009,Perth,10.8529
506021119,51119,East Victoria Park - Carlisle,5009,Perth,6.2709
506021120,51120,Kewdale Commercial,5009,Perth,4.8501
506021121,51121,Perth Airport,5009,Perth,20.3221
506021122,51122,Rivervale - Kewdale - Cloverdale,5009,Perth,10.2384
506021123,51123,Victoria Park - Lathlain - Burswood,5009,Perth,7.5755
506031124,51124,Bentley - Wilson - St James,5009,Perth,11.1482
506031125,51125,Canning Vale - West,5009,Perth,8.7354
506031126,51126,Canning Vale Commercial,5009,Perth,6.6779
506031127,51127,Cannington - Queens Park,5009,Perth,9.5147
506031128,51128,Parkwood - Ferndale - Lynwood,5009,Perth,8.6347
506031129,51129,Riverton - Shelley - Rossmoyne,5009,Perth,6.4202
506031130,51130,Welshpool,5009,Perth,8.314
506031131,51131,Willetton,5009,Perth,8.743
506041132,51132,Beckenham - Kenwick - Langford,5009,Perth,18.9584
506041133,51133,Canning Vale - East,5009,Perth,9.9338
506041134,51134,Gosnells,5009,Perth,15.5131
506041135,51135,Huntingdale - Southern River,5009,Perth,18.009
506041136,51136,Maddington - Orange Grove - Martin,5009,Perth,53.2922
506041137,51137,Thornlie,5009,Perth,11.591
506051138,51138,Forrestfield - Wattle Grove,5009,Perth,26.8976
506051139,51139,High Wycombe,5009,Perth,8.6968
506051140,51140,Kalamunda - Maida Vale - Gooseberry Hill,5009,Perth,28.1238
506051141,51141,Lesmurdie - Bickley - Carmel,5009,Perth,220.0818
506061142,51142,Byford,5009,Perth,29.3986
506061143,51143,Mundijong,5000,Not in any Significant Urban Area (WA),286.7458
506061144,51144,Serpentine - Jarrahdale,5000,Not in any Significant Urban Area (WA),588.6193
506071145,51145,Como,5009,Perth,6.3895
506071146,51146,Manning - Waterford,5009,Perth,6.161
506071147,51147,South Perth - Kensington,5009,Perth,7.7565
507011148,51148,Banjup,5009,Perth,29.7061
507011150,51150,Bibra Industrial,5009,Perth,6.5456
507011151,51151,Bibra Lake,5009,Perth,4.1706
507011152,51152,Coogee,5009,Perth,10.4233
507011153,51153,Coolbellup,5009,Perth,4.5202
507011154,51154,Hamilton Hill,5009,Perth,6.6153
507011155,51155,Henderson,5009,Perth,8.7396
507011158,51158,North Coogee,5009,Perth,2.7739
507011159,51159,South Lake - Cockburn Central,5009,Perth,8.896
507011160,51160,Spearwood,5009,Perth,6.5192
507011161,51161,Success - Hammond Park,5009,Perth,8.8607
507011163,51163,Yangebup,5009,Perth,6.0198
507011259,51259,Beeliar - Wattleup,5009,Perth,28.7159
507011260,51260,Jandakot,5009,Perth,15.7037
507021164,51164,East Fremantle,5009,Perth,3.1384
507021165,51165,Fremantle,5009,Perth,29.2192
507021166,51166,Fremantle - South,5009,Perth,7.3037
507021167,51167,O'Connor (WA),5009,Perth,1.6691
507031169,51169,Bertram - Wellard (West),5009,Perth,12.4479
507031170,51170,Calista,5009,Perth,15.1365
507031172,51172,Hope Valley - Postans,5009,Perth,24.7949
507031173,51173,Kwinana Industrial,5009,Perth,16.7145
507031174,51174,Parmelia - Orelia,5009,Perth,7.8295
507031261,51261,Casuarina - Wandi,5009,Perth,43.0888
507041175,51175,Applecross - Ardross,5009,Perth,5.4274
507041176,51176,Bateman,5009,Perth,1.9561
507041177,51177,Bicton - Palmyra,5009,Perth,6.3221
507041178,51178,Booragoon,5009,Perth,6.7888
507041179,51179,Bull Creek,5009,Perth,4.1624
507041180,51180,Leeming,5009,Perth,6.6994
507041181,51181,Melville,5009,Perth,7.8838
507041182,51182,Murdoch - Kardinya,5009,Perth,8.6462
507041183,51183,Willagee,5009,Perth,2.0887
507041184,51184,Winthrop,5009,Perth,3.4789
507051185,51185,Baldivis,5009,Perth,141.544
507051186,51186,Cooloongup,5009,Perth,4.9901
507051187,51187,Port Kennedy,5009,Perth,21.2107
507051188,51188,Rockingham,5009,Perth,35.7219
507051189,51189,Rockingham Lakes,5009,Perth,21.0334
507051190,51190,Safety Bay - Shoalwater,5009,Perth,7.1927
507051191,51191,Singleton - Golden Bay - Secret Harbour,5009,Perth,14.5708
507051192,51192,Waikiki,5009,Perth,5.7834
507051193,51193,Warnbro,5009,Perth,5.6428
509011225,51225,Albany,5001,Albany,30.5001
509011226,51226,Albany Region,5000,Not in any Significant Urban Area (WA),4009.0591
509011227,51227,Bayonet Head - Lower King,5001,Albany,24.871
509011228,51228,Denmark,5000,Not in any Significant Urban Area (WA),1859.8488
509011229,51229,Gnowangerup,5000,Not in any Significant Urban Area (WA),15012.8153
509011230,51230,Katanning,5000,Not in any Significant Urban Area (WA),2647.0202
509011231,51231,Kojonup,5000,Not in any Significant Urban Area (WA),8554.5096
509011232,51232,Little Grove - Elleker,5001,Albany,142.6706
509011233,51233,McKail - Willyung,5001,Albany,101.1998
509011234,51234,Plantagenet,5000,Not in any Significant Urban Area (WA),4383.8753
509011235,51235,Stirling Range National Park,5000,Not in any Significant Urban Area (WA),1121.6227
509021236,51236,Chittering,5000,Not in any Significant Urban Area (WA),1219.9032
509021237,51237,Cunderdin,5000,Not in any Significant Urban Area (WA),6896.4977
509021238,51238,Dowerin,5000,Not in any Significant Urban Area (WA),11490.3836
509021239,51239,Gingin - Dandaragan,5000,Not in any Significant Urban Area (WA),9919.9306
509021240,51240,Merredin,5000,Not in any Significant Urban Area (WA),9827.5053
509021241,51241,Moora,5000,Not in any Significant Urban Area (WA),13538.3952
509021242,51242,Mukinbudin,5000,Not in any Significant Urban Area (WA),50176.9813
509021243,51243,Northam,5000,Not in any Significant Urban Area (WA),1431.2215
509021244,51244,Toodyay,5000,Not in any Significant Urban Area (WA),1691.6486
509021245,51245,York - Beverley,5000,Not in any Significant Urban Area (WA),4502.1111
509031246,51246,Brookton,5000,Not in any Significant Urban Area (WA),7480.8607
509031247,51247,Kulin,5000,Not in any Significant Urban Area (WA),28626.1668
509031248,51248,Murray,5000,Not in any Significant Urban Area (WA),2746.4237
509031249,51249,Narrogin,5000,Not in any Significant Urban Area (WA),509.3037
509031250,51250,Wagin,5000,Not in any Significant Urban Area (WA),9400.0511
510011262,51262,Broome,5002,Broome,50.0425
510011263,51263,Derby - West Kimberley,5000,Not in any Significant Urban Area (WA),110798.9157
510011264,51264,Halls Creek,5000,Not in any Significant Urban Area (WA),135360.3763
510011265,51265,Kununurra,5000,Not in any Significant Urban Area (WA),117706.9504
510011266,51266,Roebuck,5000,Not in any Significant Urban Area (WA),55343.5055
510021267,51267,East Pilbara,5000,Not in any Significant Urban Area (WA),390590.2727
510021268,51268,Newman,5000,Not in any Significant Urban Area (WA),17.0749
510021269,51269,Port Hedland,5010,Port Hedland,94.1758
510021270,51270,South Hedland,5010,Port Hedland,22.2565
510031271,51271,Ashburton (WA),5000,Not in any Significant Urban Area (WA),100827.032
510031272,51272,Karratha,5008,Karratha,134.2041
510031273,51273,Roebourne,5000,Not in any Significant Urban Area (WA),15104.853
511011274,51274,Esperance,5005,Esperance,479.8669
511011275,51275,Esperance Region,5000,Not in any Significant Urban Area (WA),55180.7929
511021276,51276,Carnarvon,5000,Not in any Significant Urban Area (WA),78.17
511021277,51277,Exmouth,5000,Not in any Significant Urban Area (WA),134985.9085
511031278,51278,Boulder,5007,Kalgoorlie - Boulder,13.0881
511031279,51279,Kalgoorlie,5007,Kalgoorlie - Boulder,23.4948
511031280,51280,Kalgoorlie - North,5007,Kalgoorlie - Boulder,31.0652
