City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tallinn,"6,600","7,600","8,600","9,600","10,900","12,400","15,000","17,800","17,700","15,500","15,800","18,100","19,800","21,000","22,100","22,700","23,900","25,900","27,400","28,600","28,300","32,500"
Dublin,"35,200","37,800","40,500","42,500","46,300","50,500","52,500","54,500","51,700","46,700","46,100","45,200","46,500","49,700","54,500","60,200","67,100","72,100","76,900","82,500","87,100",:
Cork,"31,400","37,900","47,500","45,600","44,000","46,800","49,900","52,500","46,900","44,900","43,600","48,700","49,400","45,700","51,000",:,:,:,"122,100","126,100","144,000",:
Athina,"16,600","17,500","19,100","20,700","22,700","23,500","25,800","27,700","28,900","28,700","26,900","24,600","22,800","22,100","22,000","22,000","22,000","22,500","22,900","23,400","21,200",:
Thessaloniki,"11,900","12,600","13,400","14,500","15,800","15,600","17,500","18,600","19,500","18,900","17,200","15,600","14,300","13,500","13,300","13,500","13,700","13,900","14,300","14,500","13,100",:
Madrid,"21,400","23,000","24,000","25,100","26,400","28,000","30,100","31,500","32,000","31,200","30,900","31,000","30,400","30,100","30,500","31,900","32,900","34,200","35,100","36,200","32,300",:
Barcelona,"19,400","20,800","21,500","22,500","23,600","25,100","26,700","28,100","28,300","26,900","27,000","26,600","25,800","25,900","26,500","27,700","28,800","30,200","31,100","32,000","28,400",:
Valencia,"15,300","16,600","17,500","18,300","19,100","19,900","21,200","22,500","23,000","21,600","21,700","21,400","20,500","20,500","21,000","21,700","22,100","22,700","23,800","24,300","21,900",:
Sevilla,"12,100","13,100","14,300","15,300","16,200","17,500","18,500","19,700","19,800","19,000","18,800","18,500","18,000","17,500","17,800","18,400","18,700","19,500","20,200","20,800","18,800",:
Zaragoza,"16,900","18,000","19,200","20,400","21,600","23,000","24,600","26,100","26,200","25,000","25,200","24,800","23,700","23,800","24,100","24,900","25,800","27,200","28,200","29,000","26,600",:
M†laga - Marbella,"11,800","13,100","13,600","14,400","15,600","16,900","17,700","18,200","18,300","17,600","17,500","17,000","16,100","15,900","16,200","16,800","17,200","18,000","18,700","19,300","16,800",:
Murcia - Cartagena,"13,400","14,400","15,200","16,100","16,900","17,900","19,000","19,900","20,300","19,100","19,200","18,600","18,100","18,200","18,300","19,500","20,000","20,700","21,000","21,600","19,700",:
Las Palmas,"15,500","16,500","16,900","17,600","17,900","18,400","19,400","20,200","20,400","19,400","19,000","18,600","17,800","17,700","17,600","17,900","18,900","19,600","20,300","20,700","17,000",:
Valladolid,"16,100","17,200","18,100","18,900","20,100","21,500","22,700","23,900","24,000","23,000","23,600","23,200","22,500","22,300","22,800","23,800","25,100","26,400","27,700","28,100","25,800",:
Palma de Mallorca,"20,800","22,100","22,500","22,700","23,700","24,800","26,100","27,000","27,400","25,800","25,500","25,200","24,500","24,400","24,900","26,000","27,100","28,200","28,900","29,400","22,700",:
Vitoria/Gasteiz,"22,100","23,900","25,700","26,900","28,600","30,700","33,700","36,000","37,400","34,300","34,000","34,100","33,200","33,600","34,500","35,200","37,100","38,100","39,000","39,000","35,600",:
Oviedo - Gij¢n,"13,400","14,500","15,300","16,200","17,200","18,700","20,300","21,600","22,200","20,900","21,100","20,800","20,000","19,500","19,600","20,500","20,900","21,900","22,700","23,200","20,900",:
Pamplona/Iru§a,"20,300","21,500","22,600","23,600","24,900","26,400","27,900","29,100","29,800","28,400","28,300","28,100","27,000","27,100","27,500","28,500","29,400","30,500","31,100","32,000","28,800",:
Santander,"14,900","16,100","17,100","17,800","18,700","20,000","21,200","22,400","22,800","21,800","21,800","21,300","20,600","20,200","20,600","21,100","21,900","22,800","23,700","24,400","22,100",:
Bilbao,"18,700","19,500","20,700","21,900","23,200","24,900","26,300","27,700","29,000","28,100","28,400","27,900","27,300","27,000","27,700","28,900","29,700","30,300","31,300","32,300","28,800",:
C¢rdoba,"10,700","11,300","12,000","13,000","14,100","14,900","16,200","17,300","17,400","16,700","16,500","16,300","15,400","15,600","15,700","16,700","17,000","17,800","18,100","18,000","16,700",:
Alicante/Alacant - Elche/Elx,"14,100","15,400","15,800","16,400","17,200","18,000","18,800","19,200","19,300","18,000","17,700","17,100","16,300","16,200","16,700","17,400","18,200","19,000","19,500","19,900","18,000",:
