City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Marburg,5.2,14.67,18.07,17.45,23.23,27.59,29.75,31.68,38.37,44.55,50.24,52.68,65.98,49.06,45.96,57.83,39.32,40.81,50.15,46.07,52.82,69.26,52.74,52.33,60.45,59.66,62.48,81.43,79.4,90.48,69.52,70.02,80.8,67.22,86.57,59
Konstanz,5.5,15.92,31.92,35.92,44.78,33.37,51.37,44.67,51.37,42.42,63.81,40.63,48.95,79.22,71.2,48.19,61.03,72.45,58.74,114.46,105.65,117.74,109.03,133.36,120.06,125.81,169.07,148.37,172.6,137.11,135.25,125.85,143.72,113.16,105.43,89.07
Gießen,:,5.25,5.38,16.42,13.33,13.78,18.67,36.66,19.5,16.75,28.23,29.65,17.43,31.83,26.76,25.29,22.9,28.97,30.38,45.73,48.53,58.46,56.28,54.52,68.44,53.8,57.97,49.78,48.89,37.29,37.32,46.81,61.48,68.48,74.13,54.68
Bayreuth,:,:,7.21,:,4.86,7.07,10.33,12,20.69,17.37,17.91,16.78,16.62,22.08,18.5,23.31,16.63,22.29,23.27,26.64,23.92,33.14,37.83,36.72,34.52,40.72,42.44,55.76,48.05,54.1,55.89,43.33,52.22,47.32,52.11,43.72
Aschaffenburg,3.5,9.7,22.84,36.91,29.64,38.87,42.09,52.73,60.05,51.92,62.22,78.71,67.16,78.75,69.61,67.85,92.94,93.42,113.27,119.02,115.35,144.21,162.33,158.91,140.71,139.68,128.41,183.45,161.73,161.25,154.48,155.28,151.17,134.2,137.95,128.64
Plauen,:,:,:,:,0.09,0.58,0.5,:,:,2.03,0.75,:,0.33,4.14,6.17,10.98,5.79,9.07,10.29,7.83,7.82,9.28,14.85,11.48,14.31,19.72,12.1,17.86,27.92,30.63,32.04,18.95,16.5,26.34,13.98,14.42
Neubrandenburg (NUTS 2010),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.59,:,:,:,:,:,11.55,11.3,:,18.01,:,24.58,10.85,:,8.55
Rosenheim,:,6.24,14.08,13.84,12.67,17.68,33.17,25.11,30.35,31.97,39.25,41.8,32.84,37.85,43.26,52.29,57.64,48.89,64.11,75.6,78.73,96.82,104.02,95.53,89.61,95.86,105.95,110.59,125,119.54,124.73,131.79,139.48,134.47,117.38,101.01
Offenburg,2.27,3.58,16.13,12.18,19.74,19.69,25.96,36.47,35.5,26.85,30.1,40.81,32.48,37.84,55.89,48.94,49.52,38.57,56.79,61.25,79.6,92.52,104.66,111.87,87.89,102.57,118.56,119.37,117.77,129.39,149.92,140.45,149.24,141.64,132.13,105.46
Görlitz,:,:,:,:,0.33,:,:,2,0.27,0.57,1,0.4,0.25,1.25,6.99,2.25,5.53,6.45,11.48,9.47,11.63,9.61,7.03,12.18,5.02,10.58,8.25,8.52,10.08,4.68,19.71,15.29,22.9,17.76,17.81,13.2
Schweinfurt,:,5.18,4,5.35,4.69,9.22,:,6.91,:,8.37,19.45,10.45,14.09,17.3,34.84,31.96,40.93,25.37,:,34.82,50.42,41.11,34.99,54.65,82.31,77.82,80.68,115.44,112.12,141.71,136.63,118.42,114.7,113.53,108.22,92.54
Wetzlar,2,8.33,16.92,14.67,16.83,20.58,29.9,40.03,35.07,30.55,35.07,55.74,36.46,34.48,25.71,32.69,43.68,40.26,54.75,56.76,65.52,70.01,86.34,87.88,70.38,71.14,64.71,79.37,80.45,56.34,52.66,59.52,47.52,52.25,59.32,57.39
Braunschweig-Salzgitter-Wolfsburg,:,:,35.07,45.71,:,45.08,:,50.01,58.34,75.28,70.32,107.26,103.47,89.31,81.58,65.57,89.24,79.83,76.2,209.94,288.22,449.87,519.23,290.54,273.52,271.67,240.54,192.08,199.11,188.69,207.76,194.48,181.82,207.87,237.66,196.59
Mannheim-Ludwigshafen (NUTS 2010),111.52,269.65,340.76,403.51,390.05,336.46,343.95,351.6,360.5,427.43,474.03,479.08,522.59,420.66,453.22,467.28,434.93,518.61,535.07,579.09,556.95,554.33,533.14,538.78,511.91,565.62,567.05,598.57,696.37,652.34,637.42,529.4,565.61,524.95,514.05,380.6
Münster,3.17,8.98,13.87,27.87,28.47,28.82,28.34,25.25,29.9,53.39,45.9,52.43,51.24,53.16,43.34,52.1,54.36,53.92,75.95,89.32,60.82,87.53,98.3,117.18,105.83,99.18,101.47,97.44,107.64,98.95,90.31,104.74,116.03,108.04,112.98,96.84
Aachen,9.98,15.03,33.93,52.31,54.52,56.96,82.21,79.43,108.2,94.48,109.62,116.99,114.81,96.96,89.8,84.43,108.67,124.13,128.86,127.09,136.66,199.23,356.72,384.67,426.63,490.2,553.24,515.7,504.61,226.94,224.8,222.82,205.37,229.84,214.11,178.72
Lübeck,:,:,5.58,3.45,4.92,7.64,8.34,39.13,23.09,39.41,40.59,29.21,27.31,23.05,26.55,21.53,30.36,23.14,24.46,19.51,21.95,32.9,31.35,24.25,44.43,35.73,45.62,40.17,34.17,54.21,57.5,46.91,47.24,58.46,51.23,62.01
Kassel,:,3.5,10.03,9.84,23.66,17.45,17,22.26,20.59,20.63,33.1,32.33,40.11,24.67,32.62,16.28,39.85,38.09,39.42,35.99,34.03,44.48,51.63,49.99,45.21,34.2,38.8,67.01,41.91,71.16,72.01,68.26,93.22,70.35,82.04,91.44
