City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LÅbeck,"8,736.14","9,115.61","9,267.84","9,602.28","9,602.26","9,843.64","9,888.89","10,312.06","10,456.08","10,051.79","10,600.74","11,025.65","11,427.80","11,687.50","11,682.65","12,066.87","12,037.99","13,308.22","13,635","13,998","13,849",:
Oldenburg (Oldenburg),"7,957","8,361.54","8,528.29","8,517.62","9,003.61","9,071.13","9,592.98","10,044.58","10,247.51","10,029.24","10,533.21","11,146.10","11,283.41","11,540.62","12,081.86","12,232.75","12,660.87","13,256.51","13,739","14,148","14,280",:
Siegen,"8,805.66","8,988.66","8,851.12","9,275.39","9,616.89","9,919.25","10,580.29","11,186.94","11,682.97","10,602.85","11,060.30","11,882.84","11,846.05","11,836.89","12,248.87","12,613.34","12,883.83","13,321.29","13,701","13,598","12,922",:
Tallinn,"6,278.42","6,867.86","7,713.37","8,722.42","9,703.97","10,955.02","12,505.32","13,913.98","13,874.66","12,567.65","13,039.31","14,943.31","15,970.34","16,528.36","17,278.80","17,466.35","18,236.40","19,504.20","20,453.95","21,124.28","21,548.22","24,212.50"
Dublin,"49,455.98","52,328.83","55,858.19","58,477.32","65,241.85","71,753.61","77,126.94","83,654.04","80,558.95","74,561.65","78,548.87","77,930.28","80,453.74","85,703.04","93,679.86","107,111.73","119,403.34","128,533.13","137,300.77","143,508.56","154,374.72",:
Cork,"15,611.46","18,505.13","22,997.65","21,935.33","21,637.04","23,021.06","25,100.02","27,623.81","25,186.82","24,802.10","25,653.92","28,875.12","29,554.24","27,380.42","30,345.68",:,:,:,"73,130.86","72,936.03","84,921.92",:
Athina,"75,832.67","81,311.48","88,501.25","93,450.43","100,992.80","103,316.83","112,788.22","116,362.15","121,149.50","117,898.80","108,061","97,773.46","92,458.22","93,665.43","94,752.95","94,082.09","93,402.02","96,379.31","97,980.64","100,317","90,450",:
Thessaloniki,"15,662.42","17,006.46","18,017.42","19,154.50","20,518.09","20,132.62","22,491.13","23,046.17","24,122.49","23,065.85","20,573","18,609.39","17,501.54","17,372.22","17,429.09","17,803.15","17,900.28","18,397.67","18,933.41","19,215","17,342",:
Madrid,"128,497.83","137,915.22","147,521.13","154,630.61","163,795.70","176,390.41","195,311.85","208,855.67","215,103.94","208,405.60","205,233.85","207,067.07","207,267.48","205,459.25","210,369.16","220,781.55","229,522.36","242,314.32","248,374.12","260,581.55","230,319",:
Barcelona,"103,834.88","110,336.04","116,226.58","121,669.98","127,991.22","138,466.22","151,334.11","161,649.35","164,199.08","155,036.85","154,501.78","152,728.16","151,048.57","151,210.19","155,907.78","162,824.74","169,857.98","180,090.77","184,520.77","192,880.12","168,468",:
