City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Constanta,:,:,:,:,:,58,59.3,60.1,60.8,60.8,60.8,60.1,58,56
Iasi,:,:,:,:,:,51.7,51.3,52.8,52.3,52,52.7,53.2,51.7,47
Galati,:,:,:,:,:,60.4,59.1,59.8,60.5,59.8,59.9,60.5,61.1,64.5
Brasov,:,:,:,:,:,59.5,56.5,55.6,56.8,56.6,56.4,55.7,59.2,57.3
Ploiesti,:,:,:,:,:,61.9,62.4,65,66.6,66.2,65.3,64.5,68.3,70.6
Ljubljana,:,56.2,55.4,54.2,53.1,52.2,51.3,50.8,49.6,49.4,47.8,45.3,44.4,44.7
Maribor,:,63.2,62.6,61.8,60.7,60,60.8,61.3,58.6,56,58.7,59.5,53.6,53.6
Bratislava,62.3,60.6,56.6,58.5,57.7,56.4,57.6,56.7,53.5,52.3,50.5,50.8,50.5,50.8
Kosice,79.1,74.2,71.6,70.6,71,69,68.8,70,66.3,63,61.9,61.3,58.4,58.4
Helsinki,38.7,37.7,36.3,37.6,37.5,36.9,36.7,36.6,36.6,36.4,35.9,35.7,37.8,38.2
Tampere,44.9,45.8,46.1,46.5,45.5,44.4,44.2,44.3,45.4,45.7,44.2,43.5,48.7,47.1
Turku,46.4,45.4,44.6,45.8,45.8,44.5,46.5,46.6,44.9,44.4,45.3,45.2,48.1,49.6
Stockholm,43.1,42.5,41.3,40.7,39.6,38.2,37.8,36.9,36,35.5,34.8,35,33.8,32.8
Göteborg,47.1,46.5,46.4,46.2,45.2,43.8,43.7,43.5,43.6,42.3,43,42.7,41.2,39.6
Malmö,44.3,43.7,43.4,43.7,43.6,43.4,43.2,41.8,40.7,39.3,38.8,39.6,37.5,36.9
Uppsala,45.3,44.4,43.8,43.6,41.7,40.6,42.1,41.3,40.7,38.6,40.1,39.4,38.6,35.5
London,:,37.3,33.5,33.1,32.7,32.7,32.3,31.2,31.6,30.9,29.8,:,:,:
West Midlands urban area,:,41.8,41.1,39.5,39.7,38.6,37.6,37.3,38.7,40.9,38.5,:,:,:
Leeds,:,41.8,41.6,39.8,40.6,39.7,41.1,40.8,39.9,38.2,38.7,:,:,:
Glasgow,:,:,:,:,33.5,31.8,32.5,29.6,32.4,31.6,28.4,:,:,:
Bradford,:,42.1,40.2,38.3,42.3,45.9,40.1,36.5,38.2,39,34.9,:,:,:
Liverpool,:,42.8,44,42.9,41,42.3,42.6,37.5,39.7,39.6,40.3,:,:,:
Edinburgh,:,:,:,:,30.7,29.7,29.7,30.7,29.1,28.8,26.2,:,:,:
Manchester,:,41.5,39,39.5,38.6,39.3,38.6,38.9,39.3,39.1,39.2,:,:,:
Cardiff,:,41.7,43.3,43.9,39.7,38.9,38.9,38.1,37.3,37.2,35.9,:,:,:
Sheffield,:,37.6,38.4,38.2,35.9,37.6,31.9,39.1,34.4,32.1,33.1,:,:,:
