ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
152	14322	73.67	52	954	457	273	589	1011	503	466	3418580	2734960	2502060	2225030	6033	8457	6159	6032	127	9	7139	1297	780	1083	1193	642	430	560	456	698	0	0	22	5
153	239803	388.43	757	12329	8505	4849	8105	26144	5935	10237	64793460	52078350	45201190	40202020	94508	118720	96922	94508	2414	273	126703	20686	19180	18644	19349	12295	6671	10458	6793	12627	2	6	452	1001029
154	23022	47.79	73	1452	586	564	391	2637	977	797	7158290	5699790	5391260	4672050	10212	12402	10731	10213	518	98	12460	2734	1663	2358	1549	1003	720	874	547	1012	0	1	86	4
155	6742	33.06	12	366	210	263	50	230	159	187	1156320	973360	988840	882720	3040	2931	3232	3038	194	17	2433	393	264	338	233	308	198	202	187	310	0	0	3	2
156	136231	337.08	430	9037	5945	2529	4334	6930	2937	4010	31708090	25374520	21442250	18766970	55401	61768	56581	55399	1182	74	63535	8082	4617	7261	9834	7781	4045	6359	6721	8835	19	3	52	22
157	7205	14.7	31	709	242	159	51	170	129	151	1124420	976470	917290	828520	2959	2959	3031	2959	72	3	2795	298	159	303	264	400	250	295	434	392	0	1	9	1
158	20836	35.88	83	2067	937	370	585	1186	617	479	4296260	3479650	3071850	2609920	8156	11086	8287	8157	130	8	11284	1272	704	1210	1683	1514	750	1115	1356	1680	0	1	5	3
159	628743	817.73	1995	36733	20660	12469	21321	45386	16244	23851	134515950	110153520	100335600	86863800	263290	307768	270261	263282	6979	685	303840	42986	38869	43471	45959	32002	18206	26205	21556	34586	6	18	1250	5004064
160	50030	92.07	186	3981	1209	991	817	5982	848	1763	15715850	12344220	10740930	9670350	20260	29098	20798	20264	534	81	25809	5847	3884	3896	3689	2243	1378	1628	1283	1961	0	2	159	7
161	123089	153.4	372	9437	3371	2999	1603	10400	2172	3155	27362490	22536690	19595870	17361930	46610	55152	47476	46611	865	63	60031	8474	6126	7875	9348	6079	3534	5262	5864	7469	1	3	350	15
162	355775.000897	482.520003	677.000001	15955.000039	8254.000013	8434.000025	9123.000025	17669.000053	11177.000023	14835.000023	68164270.16874	57609400.14277	50783120.14277	45540480.11679	144563.000433	152341.000305	149341.000471	144574.000433	4767.000038	344.000005	153202.000355	21373.000057	23857.000065	24642.000072	22149.000039	13137.000022	9290.00002	13336.000023	8721.000019	16697.000038	8	26	374.99	2003036
163	10646	32.13	49	537	292	240	279	1397	132	424	3698340	2768200	2691820	2466460	5038	6419	5257	5040	217	52	5218	1243	964	817	584	432	302	270	163	443	0	1	21	2
164	33661	118.43	53	3043	1002	617	353	1242	1188	1041	5896820	5027680	4643510	4130030	14067	15401	14399	14062	337	14	14666	1699	1281	2304	1803	1685	1155	1388	1622	1729	1	4	14	2007
