"Benton Harbor--St. Joseph, MI","61,745 ",479 
"Gadsden, AL","61,709 ","1,067 "
"Rocky Mount, NC","61,657 ",451 
"Victoria, TX","61,529 ",483 
"Hattiesburg, MS","61,465 ",760 
"Dothan, AL","60,792 ",790 
"Longview, WA--OR","60,443 ",350 
"Lafayette--Louisville, CO","60,387 ",369 
"Porterville, CA","60,261 ",225 
"Auburn, AL","60,137 ",788 
"Petaluma, CA","59,958 ",134 
"Salisbury, MD--DE","59,426 ",540 
"Tracy, CA","59,020 ",109 
"Bangor, ME","58,983 ",410 
"Williamsport, PA","58,693 ",452 
"Pine Bluff, AR","58,584 ",752 
"Bristol, TN--Bristol, VA","58,472 ",677 
"Uniontown--Connellsville, PA","58,442 ",439 
"Bowling Green, KY","58,314 ",448 
"Rome, GA","58,287 ",671 
"Carson City, NV","58,263 ",305 
"Corvallis, OR","58,229 ",316 
"Cleveland, TN","58,192 ",521 
"Madera, CA","58,027 ",151 
"Goldsboro, NC","57,915 ",361 
"Casper, WY","57,719 ",507 
"Dalton, GA","57,666 ",850 
"Valdosta, GA","57,647 ",650 
"Glens Falls, NY","57,627 ",485 
"Bend, OR","57,525 ",446 
"Blacksburg, VA","57,236 ",287 
"Flagstaff, AZ","57,050 ",323 
"Grand Forks, ND--MN","56,573 ",353 
"Monessen, PA","56,508 ",629 
"Beloit, WI--IL","56,462 ",450 
"Sherman, TX","56,168 ",578 
"Morgantown, WV","55,997 ",313 
"DeKalb, IL","55,805 ",348 
"Lompoc, CA","55,667 ",149 
"Wenatchee, WA","55,425 ",395 
"Lee's Summit, MO","55,285 ", -
"Juana Diaz, PR","54,835 ",226 
"Galveston, TX","54,770 ",893 
"Atascadero--El Paso de Robles (Paso Robles), CA","54,762 ",273 
"McKinney, TX","54,525 ",820 
"Morristown, TN","54,368 ",513 
"Pascagoula, MS","54,190 ",473 
"Zephyrhills, FL","53,979 ",364 
"Hanford, CA","53,967 ",690 
"Jefferson City, MO","53,714 ",448 
"Winchester, VA","53,559 ",308 
"Ithaca, NY","53,528 ",291 
"St. Augustine, FL","53,519 ",460 
"San Luis Obispo, CA","53,498 ",343 
"Kingston, NY","53,458 ",726 
"Farmington, NM","53,294 ","3,636 "
"Danville, IL","53,223 ",425 
"Monroe, MI","53,153 ",311 
"El Centro, CA","52,954 ",169 
"Titusville, FL","52,922 ",381 
"Pittsfield, MA","52,772 ",409 
"Harrisonburg, VA","52,647 ",260 
"Wildwood--North Wildwood--Cape May, NJ","52,550 ", -
"Decatur, AL","52,315 ",660 
"Fairbanks, AK","51,926 ",499 
"Cumberland, MD--WV--PA","51,899 ",419 
"Jonesboro, AR","51,804 ",845 
"Hot Springs, AR","51,763 ",540 
"Hazleton, PA","51,746 ",351 
"Brunswick, GA","51,653 ",562 
"Villas, NJ","51,291 ",452 
"Manteca, CA","51,176 ",116 
"Mount Vernon, WA","51,174 ",326 
"Saratoga Springs, NY","51,172 ",382 
"Portsmouth, NH--ME","50,912 ",696 
"Danville, VA","50,902 ",425 
"Ames, IA","50,726 ",261 
"Lady Lake, FL","50,721 ",654 
"Sandusky, OH","50,693 ", -
"Lewiston, ME","50,567 ",526 
"Hinesville, GA","50,360 ",352 
"Lewiston, ID--WA","50,317 ",361 
"Columbus, IN","50,227 ",430 
"Middletown, NY","50,071 ",538 
"Fond du Lac, WI","50,058 ",388 
"Cape Girardeau, MO--IL", -,427 
"Carbondale, IL", -,467 
"Cartersville, GA", -,576 
"Casa Grande, AZ", -,387 
"Conroe--The Woodlands, TX", -,128 
"El Paso de Robles (Paso Robles)--Atascadero, CA", -,36 
"Hammond, LA", -,157 
"Hanford, CA", -,22 
"Lake Havasu City, AZ", -,495 
"Lexington Park--California--Chesapeake Ranch Estates, MD", -,290 
"Manhattan, KS", -,381 
"Mankato, MN", -,364 
"Sierra Vista, AZ", -,569 
"Waldorf, MD", -,510 
"Walla Walla, WA--OR", -,253 
