NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Três Rios/RJ,3306008,82468.00
Quixeramobim/CE,2311405,82455.00
Serrinha/BA,2930501,81693.00
Aquiraz/CE,2301000,81581.00
Cachoeira do Sul/RS,4303004,81552.00
Vinhedo/SP,3556701,81516.00
Curvelo/MG,3120904,81085.00
Alfenas/MG,3101607,80973.00
João Monlevade/MG,3136207,80903.00
Jacobina/BA,2917508,80749.00
Viana/ES,3205101,80735.00
Chapadinha/MA,2103208,80705.00
Telêmaco Borba/PR,4127106,80588.00
Três Corações/MG,3169307,80561.00
Sapiranga/RS,4319901,80514.00
Goiana/PE,2606200,80345.00
Ibiúna/SP,3519709,80062.00
Caçador/SC,4203006,80017.00
Viçosa/MG,3171303,79910.00
Senhor do Bonfim/BA,2930105,79813.00
Russas/CE,2311801,79550.00
Cajamar/SP,3509205,79034.00
Lins/SP,3527108,78978.00
Picos/PI,2208007,78627.00
Novo Repartimento/PA,1505064,78488.00
Jaboticabal/SP,3524303,78029.00
Bebedouro/SP,3506102,77612.00
Santo Ângelo/RS,4317509,77544.00
Canindé/CE,2302800,77484.00
Itapetinga/BA,2916401,77408.00
Pirassununga/SP,3539301,77330.00
Valença/RJ,3306107,77202.00
Tianguá/CE,2313401,77111.00
Belo Jardim/PE,2601706,76930.00
Santo Antônio do Descoberto/GO,5219753,76871.00
Santana do Araguaia/PA,1506708,75995.00
Cataguases/MG,3115300,75942.00
Itapira/SP,3522604,75683.00
Concórdia/SC,4204301,75683.00
Rio Largo/AL,2707701,75662.00
Sant'Ana do Livramento/RS,4317103,75647.00
Aracati/CE,2301109,75392.00
Arcoverde/PE,2601201,75295.00
Crateús/CE,2304103,75241.00
Oriximiná/PA,1505304,74921.00
Ouro Preto/MG,3146107,74824.00
Cosmópolis/SP,3512803,74662.00
Cidade Ocidental/GO,5205497,74370.00
Ceará-Mirim/RN,2402600,74268.00
Pacajus/CE,2309607,74145.00
Irecê/BA,2914604,74050.00
Santa Rosa/RS,4317202,73882.00
Farroupilha/RS,4307906,73758.00
Buriticupu/MA,2102325,73595.00
Palmeira dos Índios/AL,2706307,73452.00
Amparo/SP,3501905,73145.00
Santa Luzia/MA,2110005,73105.00
Casa Nova/BA,2907202,73092.00
Rio do Sul/SC,4214805,72931.00
Santa Izabel do Pará/PA,1506500,72856.00
Cascavel/CE,2303501,72706.00
Esmeraldas/MG,3124104,72512.00
Alegrete/RS,4300406,72493.00
Janaúba/MG,3135100,72374.00
Venâncio Aires/RS,4322608,72373.00
Indaial/SC,4207502,72346.00
Castro/PR,4104907,72125.00
Goianésia/GO,5208608,72045.00
Gaspar/SC,4205902,71925.00
São Sebastião do Paraíso/MG,3164704,71915.00
Campo Formoso/BA,2906006,71754.00
Grajaú/MA,2104800,70692.00
Biguaçu/SC,4202305,70471.00
Ouricuri/PE,2609907,70466.00
Embu-Guaçu/SP,3515103,70402.00
Bom Jesus da Lapa/BA,2903904,70151.00
Sousa/PB,2516201,69997.00
Campo Bom/RS,4303905,69981.00
Estância/SE,2802106,69919.00
Capanema/PA,1502202,69828.00
Cabedelo/PB,2503209,69773.00
Escada/PE,2605202,69701.00
Peruíbe/SP,3537602,69697.00
Horizonte/CE,2305233,69688.00
Fernandópolis/SP,3515509,69680.00
Lucas do Rio Verde/MT,5105259,69671.00
Lençóis Paulista/SP,3526803,69533.00
Araranguá/SC,4201406,69493.00
Mineiros/GO,5213103,69477.00
Itapema/SC,4208302,69323.00
Itapecuru Mirim/MA,2105401,69233.00
Mococa/SP,3530508,69072.00
Caicó/RN,2402006,68726.00
Breu Branco/PA,1501782,68597.00
Icó/CE,2305407,68303.00
Rolândia/PR,4122404,68165.00
Pesqueira/PE,2610905,68067.00
Januária/MG,3135209,67958.00
Formiga/MG,3126109,67956.00
Brumado/BA,2904605,67468.00
Conceição do Coité/BA,2908408,67394.00
Ipixuna do Pará/PA,1503457,67170.00
Vacaria/RS,4322509,66916.00
Lagoa Santa/MG,3137601,66744.00
Camaquã/RS,4303509,66686.00
Surubim/PE,2614501,66192.00
Maués/AM,1302900,66159.00
Montenegro/RS,4312401,66157.00
Bertioga/SP,3506359,66154.00
União dos Palmares/AL,2709301,65963.00
Coroatá/MA,2103604,65788.00
Tupã/SP,3555000,65615.00
Pedro Leopoldo/MG,3149309,65149.00
Itaberaba/BA,2914703,64795.00
Benevides/PA,1501501,64780.00
Tomé-Açu/PA,1508001,64604.00
Itamaraju/BA,2915601,64423.00
Itupeva/SP,3524006,64330.00
Camocim/CE,2302602,64147.00
Penápolis/SP,3537305,64098.00
Penedo/AL,2706703,64005.00
Cruz das Almas/BA,2909802,63923.00
Barreirinhas/MA,2101707,63891.00
Primavera do Leste/MT,5107040,63876.00
Portel/PA,1505809,63831.00
Piripiri/PI,2208403,63829.00
Moreno/PE,2609402,63792.00
Palmares/PE,2610004,63745.00
Acaraú/CE,2300200,63556.00
Batatais/SP,3505906,63438.00
Igarapé-Miri/PA,1503309,63367.00
Boituva/SP,3507001,63310.00
Cajazeiras/PB,2503704,62576.00
Carazinho/RS,4304705,62413.00
São Miguel dos Campos/AL,2708600,62328.00
Ulianópolis/PA,1508126,62286.00
Guapimirim/RJ,3301850,62225.00
São Gabriel/RS,4318309,62187.00
Viseu/PA,1508308,62093.00
Viçosa do Ceará/CE,2314102,61916.00
Mariana/MG,3140001,61830.00
Nova Odessa/SP,3533403,61716.00
